recno,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Field,nobs,mobs,B-V,e_B-V,Vmag,e_Vmag,Bmag,e_Bmag,g_mag,e_g_mag,r_mag,e_r_mag,i_mag,e_i_mag
39349550,114.468159,-69.769575,0.512,0.138,20162735,6,30,0.592,0.044,13.676,0.024,14.268,0.037,13.9,0.028,13.515,0.022,13.296,0.168
39349554,114.26938,-69.791614,1.031,0.815,20162734,2,5,0.785,0.0,15.699,0.0,16.484,0.0,16.09,0.0,15.423,0.0,15.266,0.096
39349555,114.270022,-69.791398,0.727,0.706,20162734,4,14,0.761,0.041,15.732,0.017,16.492,0.037,16.067,0.02,15.555,0.067,15.208,0.049
39349556,114.174169,-69.798656,0.935,0.509,20162734,4,17,0.988,0.083,15.882,0.053,16.87,0.064,16.317,0.029,15.618,0.107,15.281,0.096
39349557,114.249213,-69.78586,0.736,0.585,20162734,5,29,0.674,0.077,15.109,0.054,15.783,0.055,15.334,0.042,14.922,0.057,14.75,0.107
39349558,114.380305,-69.76201,0.356,0.427,20162734,5,23,1.134,0.117,14.991,0.045,16.125,0.108,15.468,0.029,14.64,0.039,14.249,0.177
39349559,114.40281,-69.75381,0.687,0.471,20162734,3,13,1.063,0.085,15.457,0.026,16.519,0.081,15.942,0.006,15.037,0.014,14.515,0.267
39349560,114.306582,-69.752809,0.803,1.089,20162734,2,6,0.799,0.168,16.733,0.048,17.532,0.161,17.203,0.0,16.456,0.0,,
39349561,114.326995,-69.740158,0.19,0.091,20162734,5,25,0.53,0.039,12.686,0.027,13.216,0.028,12.87,0.015,12.539,0.028,12.362,0.135
39349562,114.340507,-69.747743,1.077,1.132,20162734,3,9,1.217,0.113,16.328,0.0,17.545,0.113,17.023,0.025,16.064,0.089,15.781,0.109
39349563,114.36843,-69.721824,0.855,0.73,20162734,2,6,1.017,0.0,16.277,0.0,17.293,0.0,16.764,0.069,15.979,0.024,,
39349573,114.051599,-69.796324,1.143,0.578,20162734,4,14,1.107,0.131,15.881,0.084,16.987,0.1,16.339,0.039,15.474,0.032,14.961,0.064
39349574,114.109438,-69.789386,0.837,0.73,20162734,4,20,0.616,0.1,15.679,0.095,16.295,0.031,15.895,0.024,15.448,0.08,15.199,0.117
39349576,114.074859,-69.763911,0.857,0.567,20162734,5,23,0.968,0.128,15.62,0.101,16.588,0.078,15.999,0.056,15.348,0.016,15.028,0.079
39349582,113.920159,-69.784766,0.654,0.93,20162734,3,7,0.778,0.075,16.525,0.069,17.303,0.027,16.79,0.0,16.361,0.0,,
39349583,113.874085,-69.755726,1.253,1.658,20162734,2,7,1.13,0.011,16.767,0.011,17.897,0.0,17.451,0.168,16.172,0.033,,
39349584,113.967559,-69.756098,0.845,0.557,20162734,2,4,0.71,0.143,16.733,0.0,17.444,0.143,16.862,0.0,16.344,0.0,,
39349585,113.900991,-69.750273,0.345,0.994,20162734,2,7,0.777,0.175,15.236,0.173,16.012,0.025,15.542,0.0,15.017,0.0,14.786,0.0
39349586,113.904776,-69.759139,0.278,0.152,20162734,5,25,1.105,0.054,13.756,0.044,14.861,0.031,14.237,0.027,13.362,0.02,12.998,0.048
39349587,113.937073,-69.755035,0.218,0.227,20162734,5,25,0.671,0.045,14.373,0.029,15.044,0.035,14.628,0.023,14.156,0.027,13.937,0.036
39349588,113.950247,-69.737602,0.85,0.564,20162734,4,15,1.007,0.189,16.017,0.048,17.024,0.183,16.419,0.035,15.719,0.054,15.408,0.289
39349589,113.978664,-69.747309,0.317,0.17,20162734,5,25,0.816,0.071,13.918,0.054,14.734,0.045,14.256,0.017,13.655,0.038,13.371,0.022
39349590,113.999068,-69.740429,0.532,0.531,20162734,5,28,0.951,0.042,15.156,0.031,16.107,0.028,15.597,0.008,14.866,0.05,14.606,0.043
39349591,114.040541,-69.714078,1.508,0.694,20162734,2,5,1.312,0.0,16.464,0.0,17.776,0.0,,,16.218,0.181,15.647,0.0
39349592,114.041108,-69.714065,1.213,0.858,20162734,4,12,1.165,0.178,16.382,0.168,17.547,0.058,16.99,0.051,16.12,0.019,15.965,0.012
39349593,114.180755,-69.755244,0.887,0.774,20162734,4,8,0.619,0.086,16.525,0.06,17.143,0.062,16.776,0.0,16.403,0.0,,
39349594,114.180925,-69.756117,0.315,0.109,20162734,2,2,,,,,,,16.921,0.059,16.279,0.0,,
39349595,114.244783,-69.745862,0.241,0.296,20162734,5,25,0.636,0.046,13.966,0.034,14.602,0.03,14.203,0.018,13.765,0.022,13.543,0.115
