recno,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Field,nobs,mobs,B-V,e_B-V,Vmag,e_Vmag,Bmag,e_Bmag,g_mag,e_g_mag,r_mag,e_r_mag,i_mag,e_i_mag
282043,39.172782,14.758435,0.84,0.884,20120684,4,20,0.586,0.053,15.599,0.052,16.185,0.009,15.875,0.031,15.43,0.077,15.257,0.18
282044,39.314169,14.786702,1.004,0.699,20120684,4,15,1.081,0.111,15.343,0.091,16.424,0.063,15.853,0.054,14.93,0.039,14.486,0.079
282045,39.294533,14.833603,0.822,0.869,20120684,4,15,0.866,0.072,15.737,0.042,16.603,0.059,16.102,0.02,15.538,0.026,15.154,0.135
282046,39.119217,14.767364,0.808,0.436,20120684,4,18,1.492,0.102,15.074,0.079,16.565,0.064,15.848,0.017,14.501,0.045,13.708,0.061
282047,39.165119,14.778349,1.502,0.838,20150684,2,6,,,,,,,17.43,0.21,16.098,0.011,15.353,0.155
282048,39.147295,14.785966,0.701,0.789,20120684,4,20,1.037,0.048,14.946,0.026,15.983,0.04,15.422,0.02,14.577,0.044,14.2,0.029
282049,39.064381,14.78106,1.036,0.526,20120684,4,20,0.693,0.07,15.447,0.064,16.14,0.029,15.754,0.024,15.182,0.046,14.867,0.061
282050,39.0651,14.814098,0.202,0.165,20120684,4,20,0.921,0.045,13.788,0.027,14.709,0.035,14.234,0.019,13.484,0.037,13.105,0.092
282051,39.135472,14.807688,0.551,0.872,20120684,4,18,1.517,0.128,15.539,0.078,17.056,0.101,16.347,0.072,15.023,0.057,14.352,0.069
282052,39.107831,14.828509,0.426,0.31,20120684,4,20,0.686,0.032,14.638,0.029,15.324,0.013,14.945,0.026,14.411,0.049,14.115,0.072
282053,39.201938,14.848845,0.218,0.218,20120684,4,20,0.84,0.037,14.013,0.036,14.853,0.01,14.417,0.033,13.744,0.047,13.432,0.077
282054,39.197609,14.838319,0.92,0.474,20150684,3,15,0.857,0.07,15.518,0.062,16.375,0.033,15.899,0.009,15.214,0.042,14.883,0.076
282055,39.157293,14.858564,0.137,0.206,20120815,9,45,0.642,0.028,11.171,0.019,11.813,0.021,11.462,0.037,10.999,0.032,10.814,0.056
282056,39.152363,14.89895,0.829,1.007,20150684,2,9,0.77,0.029,16.241,0.023,17.012,0.017,16.639,0.051,16.031,0.048,15.947,0.0
282057,39.352646,14.841271,1.205,0.957,20120684,3,6,0.545,0.0,16.421,0.0,16.965,0.0,16.655,0.064,16.032,0.095,,
282059,39.406057,14.876892,1.078,1.206,20120684,4,11,1.057,0.117,16.153,0.0,17.209,0.117,16.888,0.075,15.908,0.034,15.409,0.144
282060,39.332147,14.831969,0.163,0.228,20120684,4,20,0.636,0.019,14.231,0.017,14.867,0.009,14.513,0.02,14.038,0.039,13.751,0.106
282061,39.409379,14.903979,0.14,0.184,20120815,8,40,1.088,0.041,10.472,0.033,11.56,0.024,10.984,0.032,10.176,0.04,9.769,0.027
282064,39.431062,14.967801,0.451,0.742,20120815,5,20,0.807,0.022,13.996,0.011,14.803,0.019,14.38,0.044,13.799,0.067,13.476,0.062
282065,39.271805,14.877091,1.152,1.035,20120684,4,16,0.82,0.066,15.448,0.053,16.268,0.04,15.887,0.057,15.271,0.059,15.043,0.064
282066,39.295466,14.886491,0.23,0.27,20120815,9,45,0.668,0.036,11.978,0.032,12.646,0.016,12.267,0.04,11.809,0.043,11.596,0.075
282067,39.29218,14.892439,0.74,0.932,20150684,2,5,0.985,0.105,15.875,0.0,16.86,0.105,16.212,0.0,15.589,0.0,15.344,0.0
282068,39.312031,14.899135,1.038,0.818,20150684,2,8,1.132,0.048,16.229,0.008,17.361,0.048,16.884,0.023,15.917,0.039,,
282069,39.357153,14.93575,0.88,0.471,20120815,5,21,0.906,0.042,14.334,0.012,15.24,0.04,14.762,0.036,14.049,0.037,13.701,0.053
282070,39.319499,14.95296,1.036,0.995,20120684,3,11,1.008,0.058,15.92,0.053,16.929,0.023,16.352,0.051,15.784,0.03,15.473,0.0
282071,39.254227,14.944653,0.426,0.599,20120684,3,13,0.781,0.042,15.037,0.017,15.818,0.039,15.411,0.031,14.808,0.046,14.495,0.101
282072,39.237361,14.941739,0.246,0.326,20120815,8,40,1.167,0.023,12.229,0.012,13.396,0.019,12.785,0.043,11.876,0.042,11.424,0.063
282073,39.230101,14.964199,0.337,0.391,20120815,8,40,0.72,0.025,12.563,0.011,13.283,0.022,12.882,0.045,12.351,0.047,12.095,0.051
282074,39.259097,14.983686,0.456,0.578,20120815,8,37,1.181,0.055,12.908,0.035,14.09,0.042,13.469,0.029,12.511,0.029,12.061,0.049
282075,39.354535,14.984848,1.1,1.12,20150684,2,10,0.767,0.192,16.188,0.023,16.956,0.191,16.655,0.121,15.951,0.047,15.577,0.072
282076,39.387735,14.994631,1.728,0.684,20150684,2,4,,,,,,,16.867,0.03,15.846,0.073,,
282077,39.411291,14.996505,0.609,0.868,20120815,5,21,0.864,0.076,14.223,0.053,15.087,0.054,14.63,0.053,13.941,0.029,13.589,0.053
282078,39.31727,15.013888,0.162,0.158,20120815,8,38,1.328,0.061,10.108,0.046,11.436,0.041,10.746,0.069,9.682,0.036,9.25,0.023
282079,39.321537,15.03535,0.454,0.308,20120815,5,16,0.771,0.207,14.173,0.053,14.944,0.2,14.447,0.017,13.995,0.025,13.822,0.077
282080,39.322194,15.036133,0.002,0.001,20120815,2,2,,,,,,,,,,,,
282186,39.01485,14.849322,0.457,0.528,20120684,4,20,0.965,0.076,14.912,0.017,15.877,0.074,15.339,0.021,14.614,0.034,14.211,0.083
282187,39.022252,14.838444,0.444,0.697,20120815,7,23,0.774,0.025,13.636,0.02,14.409,0.016,13.988,0.037,13.4,0.037,13.103,0.077
282188,39.069268,14.836383,0.852,1.086,20120684,4,14,1.018,0.356,16.216,0.167,17.233,0.314,16.622,0.053,16.096,0.116,15.399,0.0
282189,39.070006,14.83611,0.662,1.354,20120684,2,2,,,,,,,16.665,0.0,15.956,0.07,,
282190,39.018488,14.866948,0.513,0.469,20120684,4,20,0.89,0.066,14.902,0.042,15.793,0.051,15.36,0.046,14.588,0.042,14.159,0.04
282191,39.10378,14.87102,0.211,0.239,20120815,9,45,0.703,0.03,12.27,0.028,12.973,0.009,12.588,0.04,12.074,0.039,11.81,0.05
282192,39.0987,14.986677,0.451,0.327,20120684,4,17,0.712,0.161,14.272,0.154,14.984,0.047,14.552,0.033,13.951,0.01,13.643,0.046
282193,39.077948,14.973458,0.355,0.373,20120815,8,40,0.725,0.022,12.868,0.0,13.593,0.022,13.195,0.038,12.663,0.014,12.389,0.057
282196,38.955317,14.972006,0.635,1.07,20150684,2,5,1.013,0.0,15.57,0.0,16.582,0.0,16.043,0.038,15.299,0.0,15.052,0.0
282197,39.053527,14.976658,0.671,0.7,20120684,3,12,1.205,0.102,15.278,0.084,16.483,0.057,15.912,0.035,14.797,0.032,14.374,0.037
282198,38.980827,14.979418,0.555,0.675,20120684,3,15,1.052,0.072,15.266,0.029,16.318,0.067,15.807,0.043,14.906,0.021,14.485,0.041
282199,39.082895,15.030655,0.416,0.682,20120815,4,17,0.737,0.311,14.206,0.229,14.944,0.21,14.444,0.037,13.954,0.091,13.66,0.048
282200,38.979554,15.011422,0.653,0.844,20120815,8,26,0.686,0.136,14.222,0.132,14.908,0.032,14.507,0.052,13.944,0.03,13.674,0.07
282201,38.969815,15.034598,0.36,0.752,20120815,4,14,1.274,0.217,14.299,0.05,15.573,0.212,14.896,0.022,13.924,0.0,13.514,0.037
282202,38.978735,15.05512,0.381,0.333,20120815,9,38,0.992,0.318,12.816,0.251,13.807,0.196,13.198,0.01,12.404,0.006,12.07,0.006
282203,39.238945,15.034717,0.6,0.924,20120815,6,20,0.723,0.303,15.043,0.135,15.766,0.271,15.277,0.037,14.832,0.136,14.562,0.051
282204,39.150528,15.012298,1.048,0.437,20150684,2,10,0.857,0.079,15.922,0.032,16.779,0.072,16.41,0.014,15.812,0.063,15.599,0.035
282205,39.323636,15.062172,0.6,0.624,20120815,3,12,0.966,0.251,15.271,0.126,16.237,0.218,15.668,0.043,15.101,0.015,14.844,0.01
282206,39.263374,15.058132,0.857,0.401,20150684,3,11,0.846,0.212,15.441,0.169,16.288,0.127,15.798,0.028,15.04,0.026,14.629,0.0
282207,39.324136,15.085885,0.71,1.011,20120815,3,11,0.748,0.205,15.476,0.11,16.224,0.173,15.838,0.048,15.276,0.058,15.189,0.0
282208,39.274523,15.093751,0.651,1.114,20120815,4,12,0.836,0.211,15.478,0.013,16.314,0.21,15.807,0.0,15.164,0.008,14.917,0.057
282209,39.290868,15.118639,0.306,0.677,20150684,2,7,0.998,0.0,15.909,0.0,16.907,0.0,16.333,0.008,15.628,0.082,15.314,0.0
282210,39.128217,15.076886,0.36,0.183,20120815,9,39,1.059,0.302,11.845,0.223,12.904,0.204,12.249,0.023,11.41,0.006,11.068,0.007
282211,39.126557,15.091638,1.312,0.912,20150684,2,9,0.758,0.343,16.438,0.048,17.196,0.34,16.662,0.041,16.238,0.052,15.756,0.0
282212,39.14606,15.093339,0.619,0.794,20120815,8,26,1.006,0.241,13.612,0.145,14.618,0.192,13.976,0.061,13.424,0.261,13.009,0.077
282213,39.070494,15.073288,0.294,0.586,20150684,2,7,,,16.044,0.0,,,16.768,0.08,15.512,0.029,14.949,0.041
282214,39.079704,15.076155,0.586,0.387,20150684,2,10,0.641,0.01,15.405,0.006,16.046,0.008,15.742,0.027,15.236,0.061,15.016,0.0
282215,39.063966,15.102833,0.168,0.279,20120815,8,37,0.803,0.211,11.765,0.047,12.568,0.205,12.05,0.04,11.603,0.006,11.415,0.0
282216,39.070233,15.121971,0.734,0.852,20120815,7,24,1.008,0.192,14.168,0.036,15.176,0.188,14.588,0.012,13.859,0.006,13.597,0.039
282217,39.070549,15.122308,0.787,0.932,20120815,4,5,,,,,,,,,,,,
282218,39.074725,15.131001,0.933,0.377,20120815,3,12,1.599,0.206,14.973,0.06,16.572,0.197,15.664,0.052,14.406,0.011,13.263,0.016
282219,39.173342,15.127333,0.323,0.315,20120815,4,14,0.934,0.32,14.327,0.202,15.262,0.248,14.682,0.006,13.959,0.034,13.637,0.0
282220,39.196846,15.147194,0.485,0.614,20120815,6,18,0.765,0.302,14.137,0.231,14.902,0.195,14.386,0.033,13.805,0.0,13.546,0.006
282221,39.208077,15.150428,0.781,0.483,20120815,6,21,0.686,0.351,13.971,0.293,14.656,0.193,14.166,0.049,13.626,0.01,13.382,0.006
282222,39.155888,15.149699,0.98,0.643,20150684,2,10,0.768,0.074,15.519,0.045,16.287,0.059,15.837,0.113,15.223,0.052,15.002,0.046
282223,39.137606,15.174162,0.914,0.535,20120815,4,14,1.429,0.331,14.802,0.288,16.232,0.163,15.401,0.039,14.102,0.011,12.814,0.023
282224,39.192235,15.179077,0.197,0.318,20120815,8,37,0.499,0.3,9.715,0.294,10.215,0.06,9.957,0.236,9.479,0.027,9.368,0.019
282225,39.163896,15.211963,0.794,1.221,20150684,2,7,0.966,0.0,15.843,0.0,16.809,0.0,16.371,0.014,15.359,0.05,14.962,0.0
282233,38.959704,15.09687,0.748,0.587,20120815,4,14,0.819,0.165,15.318,0.0,16.137,0.165,15.642,0.006,15.082,0.018,14.781,0.051
282245,39.04983,15.148582,0.255,0.099,20120815,7,40,1.145,0.048,8.333,0.038,9.478,0.029,9.182,0.597,8.031,0.019,7.726,0.011
282246,39.049067,15.160417,0.246,0.269,20120815,8,37,0.783,0.231,12.312,0.047,13.095,0.226,12.627,0.022,12.154,0.0,11.97,0.01
282247,39.06933,15.184817,0.421,0.787,20150684,2,10,0.783,0.0,15.359,0.0,16.142,0.0,15.717,0.049,15.15,0.006,14.832,0.041
