objName,objID,raMean,decMean,raMeanErr,decMeanErr,nDetections,randomID,projectionID,skyCellID,objInfoFlag,qualityFlag,raStack,decStack,raStackErr,decStackErr,epochMean,nStackDetections,ng,nr,ni,nz,ny,gQfPerfect,gMeanPSFMag,gMeanPSFMagErr,gMeanKronMag,gMeanKronMagErr,gMeanApMag,gMeanApMagErr,gFlags,rQfPerfect,rMeanPSFMag,rMeanPSFMagErr,rMeanKronMag,rMeanKronMagErr,rMeanApMag,rMeanApMagErr,rFlags,iQfPerfect,iMeanPSFMag,iMeanPSFMagErr,iMeanKronMag,iMeanKronMagErr,iMeanApMag,iMeanApMagErr,iFlags,zQfPerfect,zMeanPSFMag,zMeanPSFMagErr,zMeanKronMag,zMeanKronMagErr,zMeanApMag,zMeanApMagErr,zFlags,yQfPerfect,yMeanPSFMag,yMeanPSFMagErr,yMeanKronMag,yMeanKronMagErr,yMeanApMag,yMeanApMagErr,yFlags,Ang Sep (')
b'PSO J103635.603-273848.764',b'74821591483354049',159.148295833,-27.6468638889,0.176,0.176,2,0.16714532037,750,2,302067712,36,b'',b'',,,55235.5078935,0,1,0,0,1,0,0.999,21.896,0.175,21.163,0.19,21.158,0.175,16777496,,,,,,,,0,,,,,,,,0,0.724,21.316,0.296,,,25.871,0.296,4120,,,,,,,,0,14.031
b'PSO J103759.148-274849.512',b'74621594964523800',159.496358333,-27.8137333333,0.069,0.042,56,0.78520273956,750,1,436527104,52,b'10 37 59.148',b'-27 48 49.51',0.001,0.001,56048.6693171,5,9,10,11,14,12,0.999,18.568,0.008,18.652,0.01,18.565,0.008,115000,1.0,18.12,0.004,18.198,0.011,18.114,0.006,115000,0.999,17.92,0.006,18.03,0.019,17.924,0.02,115000,1.0,17.881,0.006,18.0,0.015,17.907,0.009,115000,0.999,17.847,0.017,17.989,0.042,17.863,0.039,16892216,14.032
b'PSO J103827.510-272705.868',b'75051596145878337',159.614558333,-27.4516305556,0.031,0.039,8,0.416382446342,750,11,436527104,52,b'10 38 27.511',b'-27 27 05.94',0.001,0.001,56090.3282639,3,0,0,2,3,3,,,,,,,,16416,,,,,,,,16416,0.998,20.539,0.028,20.789,0.093,20.521,0.045,115000,0.999,20.148,0.019,20.317,0.063,20.258,0.03,115000,0.999,19.666,0.093,19.61,0.144,19.537,0.123,115000,14.034
b'PSO J103839.204-273240.345',b'74941596631936819',159.663304167,-27.5445666667,0.082,0.082,4,0.518123688659,750,11,444751872,53,b'10 38 39.228',b'-27 32 40.12',0.001,0.001,55947.2382986,3,1,0,3,0,0,0.998,21.643,0.155,20.236,0.117,20.429,0.155,16777496,,,,,,,,114720,0.999,21.461,0.098,21.11,0.024,20.986,0.028,16892216,,,,,,,,114720,,,,,,,,16416,14.034
b'PSO J103717.120-272220.802',b'75151593212843408',159.321304167,-27.3724527778,0.071,0.071,5,0.235987238806,750,12,444751872,53,b'10 37 17.113',b'-27 22 20.82',0.001,0.001,56400.4201389,2,0,1,4,0,0,,,,,,,,16416,0.998,21.069,0.179,19.889,0.155,20.374,0.179,16793912,0.999,21.278,0.064,19.961,0.314,20.885,0.233,115000,,,,,,,,114720,,,,,,,,16416,14.036
b'PSO J103707.099-272318.899',b'75131592793584141',159.27955,-27.3885916667,0.044,0.044,2,0.390711362838,750,12,310456320,37,b'',b'',,,56020.7094792,0,0,0,0,1,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,0.962,19.824,0.141,18.81,0.107,18.939,0.141,16777488,0.999,17.698,0.044,16.375,0.034,16.778,0.044,16778256,14.036
b'PSO J103822.910-274524.039',b'74691595954772427',159.5954625,-27.7566777778,0.199,0.199,2,0.192586769529,750,1,268959744,32,b'',b'',,,56752.3572454,0,0,0,2,0,0,,,,,,,,0,,,,,,,,0,0.681,21.698,0.171,,,21.665,0.249,4120,,,,,,,,0,,,,,,,,0,14.037
b'PSO J103655.953-272501.091',b'75101592329990098',159.233104167,-27.416975,0.064,0.064,2,0.649743898446,750,12,310456320,37,b'',b'',,,55945.65,0,0,1,0,1,0,,,,,,,,0,1.0,21.137,0.153,19.518,0.099,19.862,0.153,16777496,,,,,,,,0,0.998,19.473,0.068,17.212,0.029,18.222,0.068,16778264,,,,,,,,0,14.04
b'PSO J103824.367-274503.876',b'74691596015069030',159.6014625,-27.7510861111,0.015,0.018,41,0.485116150682,750,1,436527104,52,b'10 38 24.367',b'-27 45 03.88',0.001,0.001,56159.7855671,5,0,5,11,15,10,,,,,,,,114720,1.0,21.475,0.081,21.466,0.065,21.518,0.053,115000,0.999,20.347,0.018,20.504,0.04,20.528,0.064,115000,0.999,19.711,0.043,19.743,0.077,19.578,0.083,115000,1.0,19.53,0.052,19.666,0.13,19.617,0.138,115000,14.041
b'PSO J103637.246-274008.478',b'74791591551807491',159.155141667,-27.6690055556,0.149,0.149,2,0.320112850815,750,2,302067712,36,b'',b'',,,55251.4468056,0,0,0,1,0,1,,,,,,,,0,,,,,,,,0,0.998,19.852,0.149,18.058,0.086,18.536,0.149,16777488,,,,,,,,0,0.736,19.493,0.222,,,19.227,0.222,4112,14.042
b'PSO J103708.864-274812.099',b'74631592869496252',159.286895833,-27.8033472222,0.019,0.019,2,0.0500259725843,750,2,268513280,32,b'',b'',,,56283.6414352,0,0,1,0,1,0,,,,,,,,0,0.68,22.236,0.336,,,22.567,0.336,4120,,,,,,,,0,0.999,17.785,0.012,18.686,0.036,18.625,0.012,24,,,,,,,,0,14.043
b'PSO J103739.882-272137.017',b'75161594161687958',159.416141667,-27.3602916667,0.007,0.009,51,0.0396231357377,750,11,436527104,52,b'10 37 39.883',b'-27 21 37.02',0.001,0.001,56183.868831,10,8,6,9,12,16,0.999,21.483,0.076,21.534,0.094,21.459,0.105,115000,0.999,20.364,0.036,20.462,0.07,20.581,0.048,115000,1.0,19.341,0.007,19.511,0.022,19.383,0.034,115000,0.999,18.871,0.014,19.016,0.017,18.909,0.018,115000,0.999,18.605,0.024,18.746,0.04,18.644,0.045,115000,14.043
b'PSO J103637.586-273057.572',b'74981591565811127',159.156558333,-27.5159722222,0.015,0.012,48,0.237407585827,750,12,528801792,63,b'10 36 37.586',b'-27 30 57.57',0.001,0.001,55900.6793403,5,10,12,4,12,10,0.999,19.512,0.057,16.445,0.152,18.484,0.122,16892216,1.0,18.628,0.014,15.38,0.047,17.821,0.068,16892216,0.998,18.438,0.047,,,18.02,0.072,16892216,0.999,18.013,0.01,14.396,0.142,17.226,0.025,16892216,1.0,17.664,0.073,15.693,0.268,17.211,0.012,16892216,14.045
b'PSO J103825.978-274439.629',b'74701596081227273',159.608195833,-27.7443194444,0.071,0.071,3,0.29816997079,750,1,302063616,36,b'',b'',,,56083.2033102,0,1,1,0,0,1,1.0,21.527,0.132,21.188,0.183,21.107,0.132,16777496,0.999,20.732,0.092,20.805,0.15,20.694,0.092,280,,,,,,,,0,,,,,,,,0,0.997,19.472,0.202,,,,,272,14.045
b'PSO J103713.498-272238.073',b'75141593061637480',159.306208333,-27.3772305556,0.014,0.006,66,0.976798483149,750,12,444915712,53,b'10 37 13.498',b'-27 22 38.07',0.001,0.001,56092.4263657,5,7,10,15,18,16,0.999,21.526,0.111,20.83,0.234,20.801,0.199,16892216,1.0,20.312,0.052,19.871,0.065,19.828,0.057,16892216,1.0,19.082,0.017,18.424,0.127,18.662,0.074,16892216,1.0,18.5,0.018,18.309,0.018,18.289,0.017,115000,1.0,17.975,0.033,17.547,0.07,17.5,0.066,16892216,14.046
b'PSO J103837.254-273105.529',b'74971596551568412',159.655229167,-27.5182027778,0.059,0.059,2,0.394756818558,750,11,268959744,32,b'',b'',,,56358.4457407,0,2,0,0,0,0,0.681,20.999,0.039,,,20.741,0.169,4120,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,14.047
b'PSO J103656.846-272450.309',b'75101592367693516',159.236829167,-27.4139833333,0.047,0.047,2,0.0780607583728,750,12,302067712,36,b'',b'',,,55276.4046759,0,2,0,0,0,0,0.999,20.57,0.212,20.541,0.166,20.466,0.131,280,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,14.049
b'PSO J103756.261-272214.570',b'75151594843975387',159.484425,-27.3707138889,0.152,0.152,2,0.280784521513,750,11,268959744,32,b'',b'',,,56417.2444213,0,0,0,0,0,2,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,0.795,19.636,0.012,,,19.609,0.062,4120,14.05
b'PSO J103740.255-274941.100',b'74601594177396586',159.417679167,-27.828075,0.014,0.016,43,0.49649548018,750,1,436527104,52,b'10 37 40.256',b'-27 49 41.10',0.001,0.001,56074.9705787,10,1,5,14,10,13,0.999,21.713,0.139,21.776,0.215,21.648,0.139,115000,0.999,21.083,0.094,21.261,0.247,21.156,0.173,115000,0.999,19.844,0.022,19.856,0.024,19.766,0.045,115000,0.999,19.298,0.024,19.412,0.067,19.27,0.029,115000,1.0,18.861,0.033,18.894,0.078,18.758,0.06,115000,14.05
b'PSO J103804.450-274821.061',b'74631595185623239',159.5185,-27.8058611111,0.132,0.132,2,0.0992323934093,750,1,436285440,52,b'10 38 04.450',b'-27 48 21.06',0.001,0.001,56146.7899537,4,1,0,0,1,0,1.0,21.997,0.186,,,21.988,0.186,115000,,,,,,,,114720,,,,,,,,114720,0.0,21.289,0.186,,,,,115256,,,,,,,,16416,14.051
b'PSO J103649.490-274453.253',b'74701592063132467',159.2061625,-27.748125,0.01,0.012,52,0.553330273883,750,2,436527104,52,b'10 36 49.491',b'-27 44 53.25',0.001,0.001,56195.3535185,5,8,8,12,15,9,1.0,20.934,0.029,20.77,0.1,20.566,0.041,16892216,1.0,20.112,0.023,20.2,0.035,20.109,0.017,115000,0.999,19.796,0.021,19.991,0.042,19.918,0.032,115000,0.999,19.67,0.012,19.801,0.045,19.732,0.059,115000,0.999,19.515,0.039,19.359,0.087,19.288,0.077,115000,14.052
b'PSO J103636.219-273153.441',b'74961591508812691',159.150866667,-27.5315,0.109,0.109,4,0.930756772804,750,12,310456320,37,b'',b'',,,56058.3796528,0,0,0,0,3,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,0.998,20.522,0.167,18.883,0.105,19.453,0.167,16777496,0.998,19.52,0.142,18.028,0.095,18.425,0.142,16777496,14.053
b'PSO J103645.105-272740.596',b'75041591879996707',159.187908333,-27.461275,0.036,0.043,17,0.201364297607,750,12,436527104,52,b'10 36 45.106',b'-27 27 40.60',0.001,0.001,55906.5789699,5,0,0,6,10,1,,,,,,,,114720,,,,,,,,114720,0.999,21.091,0.08,21.236,0.276,21.472,0.009,115000,0.999,20.472,0.064,20.593,0.122,20.593,0.046,115000,0.998,20.017,0.145,,,20.641,0.145,115000,14.054
b'PSO J103826.007-274439.894',b'74701596082976954',159.608308333,-27.7444361111,0.011,0.013,53,0.79512962773,750,1,436527104,52,b'10 38 26.008',b'-27 44 39.89',0.001,0.001,56217.5434375,5,6,12,12,14,9,0.999,21.79,0.058,21.489,0.209,21.443,0.09,115000,1.0,20.8,0.03,20.935,0.144,20.919,0.129,115000,0.999,19.993,0.03,20.091,0.056,20.0,0.05,115000,1.0,19.526,0.036,19.536,0.089,19.368,0.053,115000,1.0,19.261,0.031,19.476,0.063,19.459,0.144,115000,14.054
b'PSO J103714.484-274845.978',b'74621593104694840',159.3103125,-27.8127527778,0.029,0.028,30,0.595783286352,750,2,444915712,53,b'10 37 14.485',b'-27 48 45.98',0.001,0.001,56103.8612153,5,1,6,7,13,3,0.974,21.856,0.184,20.41,0.133,20.657,0.184,16892216,0.999,20.925,0.081,20.698,0.095,20.537,0.126,16892216,0.999,20.465,0.083,20.304,0.036,20.216,0.036,16892216,0.999,20.306,0.031,20.18,0.042,20.197,0.06,115000,0.999,19.665,0.306,,,19.155,0.029,115000,14.056
