r_cntr,object_id,raj2000,dej2000,e_raj2000,e_dej2000,smss_j,mean_epoch,flags,nimaflags,ngood,ngood_min,nch_max,class_star,u_psf,e_u_psf,u_petro,e_u_petro,v_psf,e_v_psf,v_petro,e_v_petro,g_psf,e_g_psf,g_petro,e_g_petro,r_psf,e_r_psf,r_petro,e_r_petro,i_psf,e_i_psf,i_petro,e_i_petro,z_psf,e_z_psf,z_petro,e_z_petro,prox,prox_id
4.15,287831716,114.123526,-69.550319,13,36,b'073629.64-693301.1',57030.4748,0,0,1,0,1,0.393,,,,,,,,,,,,,,,,,18.515,0.067,18.363,0.201,,,,,60.0,
17.12,287831729,114.133251,-69.546132,13,36,b'073631.98-693246.0',57030.4751,0,0,1,0,1,0.568,,,,,,,,,,,,,,,,,,,,,17.75,0.024,17.871,0.194,60.0,
41.63,287831712,114.156847,-69.545457,13,36,b'073637.64-693243.6',57030.4751,0,0,1,0,1,0.422,,,,,,,,,,,,,,,,,,,,,17.84,0.021,17.617,0.24,60.0,
50.4,287832202,114.087197,-69.552392,22,36,b'073620.92-693308.6',57030.4748,0,0,3,0,1,0.751,,,,,,,,,,,,,18.214,0.05,17.593,0.16,17.86,0.058,17.633,0.119,17.745,0.035,17.913,0.142,4.2,287832204.0
52.8,287832203,114.084943,-69.551304,222,306,b'073620.36-693304.5',57030.4746,0,0,2,0,1,0.428,,,,,,,,,,,,,18.833,0.164,18.682,0.195,18.458,0.117,17.713,0.185,,,,,2.5,287832204.0
53.72,287831714,114.14942,-69.56299,38,36,b'073635.85-693346.7',57030.4746,0,0,4,0,1,0.569,,,,,,,,,18.384,0.019,18.288,0.223,18.276,0.03,18.532,0.158,17.74,0.048,17.658,0.116,17.507,0.076,17.07,0.133,60.0,
53.97,287832204,114.084157,-69.551914,13,36,b'073620.19-693306.8',57030.4748,1,0,1,0,1,0.474,,,,,,,,,,,,,,,,,18.766,0.137,18.512,0.214,,,,,2.5,287832203.0
54.5,287831715,114.138558,-69.564898,46,36,b'073633.25-693353.6',57030.4746,0,0,4,0,1,0.976,,,,,,,,,18.555,0.048,18.569,0.193,17.885,0.025,18.072,0.119,16.882,0.015,16.889,0.068,16.455,0.008,16.518,0.06,60.0,
58.69,287831711,114.173255,-69.548701,22,36,b'073641.57-693255.2',57030.4746,0,0,4,0,1,0.976,,,,,,,,,18.631,0.057,18.854,0.188,17.546,0.025,17.445,0.089,17.021,0.005,17.056,0.075,16.706,0.015,16.767,0.068,60.0,
60.79,287832199,114.10978,-69.566126,13,36,b'073626.34-693358.0',57030.4751,0,0,1,0,1,0.524,,,,,,,,,,,,,,,,,,,,,18.229,0.013,18.268,0.22,60.0,
66.01,287831731,114.117678,-69.532269,13,36,b'073628.24-693156.1',57030.4745,0,0,1,0,1,0.627,,,,,,,,,,,,,18.803,0.106,17.821,0.223,,,,,,,,,4.5,287831733.0
66.31,287832197,114.123318,-69.568703,56,36,b'073629.59-693407.3',57030.475,0,0,2,0,1,0.482,,,,,,,,,,,,,,,,,18.766,0.017,18.994,0.459,18.546,0.03,18.865,0.207,14.4,287832198.0
67.69,287831730,114.122931,-69.531571,111,36,b'073629.49-693153.6',57030.475,1,0,2,0,1,0.333,,,,,,,,,,,,,,,,,18.61,0.204,17.125,0.17,18.576,0.111,18.255,0.237,6.7,287831732.0
68.51,287831733,114.11433,-69.531803,13,36,b'073627.43-693154.4',57030.4748,3,0,1,0,1,0.0,,,,,,,,,,,,,,,,,18.266,0.241,17.532,0.113,,,,,4.5,287831731.0
70.39,287831710,114.174761,-69.560426,71,36,b'073641.94-693337.5',57030.4748,0,0,3,0,1,0.55,,,,,,,,,,,,,18.515,0.039,18.924,0.239,18.128,0.014,18.352,0.196,18.042,0.038,18.022,0.207,60.0,
70.55,287831732,114.117809,-69.530984,13,36,b'073628.27-693151.5',57030.4748,1,0,1,0,1,0.141,,,,,,,,,,,,,,,,,18.849,0.112,17.721,0.254,,,,,4.6,287831731.0
78.44,287832198,114.115938,-69.571778,30,47,b'073627.82-693418.3',57030.4746,0,0,4,0,1,0.851,,,,,,,,,18.227,0.044,18.045,0.191,18.066,0.016,18.343,0.292,17.519,0.023,17.634,0.109,17.576,0.042,17.979,0.23,14.4,287832197.0
79.0,287831734,114.098612,-69.530722,54,82,b'073623.68-693150.5',57030.4742,0,2,6,1,1,0.402,17.7,0.129,17.763,0.43,16.972,0.121,15.705,0.106,15.293,0.241,13.886,0.012,14.591,0.256,12.807,0.01,13.815,0.241,11.948,0.007,13.427,0.246,11.436,0.007,60.0,
80.62,287832200,114.091382,-69.568987,85,88,b'073621.92-693408.3',57030.4746,0,0,4,0,1,0.527,,,,,,,,,18.713,0.058,18.524,0.198,18.514,0.022,18.642,0.22,18.1,0.065,17.554,0.166,17.959,0.021,18.101,0.166,60.0,
82.15,287831703,114.188917,-69.543256,40,37,b'073645.34-693235.7',57030.4746,0,0,4,0,1,0.977,,,,,,,,,17.466,0.02,17.657,0.097,16.826,0.013,16.792,0.054,16.452,0.019,16.371,0.045,16.374,0.015,16.548,0.06,7.2,287831702.0
87.61,287831725,114.131091,-69.526035,140,678,b'073631.48-693134.2',57033.4907,2,0,2,0,1,0.494,,,,,,,,,,,,,,,,,18.951,0.123,18.434,0.296,17.538,0.093,16.938,0.136,5.2,287831721.0
87.84,287831713,114.174157,-69.568274,83,36,b'073641.79-693405.7',57030.475,0,0,2,0,1,0.483,,,,,,,,,,,,,,,,,18.623,0.07,18.988,0.4,18.308,0.025,18.268,0.279,9.5,287831512.0
89.22,287831702,114.193943,-69.542314,113,92,b'073646.54-693232.3',57030.4745,0,0,3,0,1,0.664,,,,,,,,,18.783,0.038,18.974,0.323,18.628,0.057,18.821,0.249,18.377,0.028,18.367,0.228,,,,,7.2,287831703.0
89.47,287831727,114.127144,-69.525472,13,36,b'073630.51-693131.6',57036.5067,0,0,1,0,1,0.368,,,,,,,,,,,,,,,,,,,,,17.798,0.106,18.484,0.231,4.1,287831726.0
91.9,287831721,114.133126,-69.524892,13,36,b'073631.95-693129.6',57036.5063,0,0,1,0,1,0.366,,,,,,,,,,,,,,,,,17.948,0.087,17.738,0.212,,,,,2.1,287831720.0
92.58,287831726,114.129289,-69.524624,13,36,b'073631.02-693128.6',57036.5063,2,0,1,0,1,0.48,,,,,,,,,,,,,,,,,17.641,0.051,16.486,0.106,,,,,4.1,287831727.0
92.65,287832205,114.079437,-69.53063,80,49,b'073619.05-693150.1',57030.4742,1,0,6,1,1,0.926,17.549,0.067,18.241,0.334,16.946,0.009,16.976,0.142,16.299,0.019,16.077,0.04,16.078,0.022,15.831,0.038,15.914,0.035,15.405,0.057,15.895,0.056,15.176,0.066,11.8,287832212.0
92.95,287831720,114.134652,-69.524651,13,36,b'073632.31-693128.7',57036.5067,0,0,1,0,1,0.459,,,,,,,,,,,,,,,,,,,,,17.709,0.052,18.549,0.225,2.1,287831721.0
93.44,287832206,114.06718,-69.534864,13,36,b'073616.12-693205.5',57030.4751,2,0,1,0,1,0.378,,,,,,,,,,,,,,,,,,,,,18.512,0.203,17.962,0.185,60.0,
95.51,287831512,114.18155,-69.568727,15,36,b'073643.57-693407.4',57030.4746,0,0,4,0,1,0.969,,,,,,,,,18.836,0.02,18.897,0.21,17.987,0.023,18.135,0.183,16.913,0.006,16.988,0.072,16.494,0.005,16.594,0.054,9.5,287831713.0
95.81,287831728,114.125689,-69.523714,13,36,b'073630.16-693125.3',57030.4751,2,0,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,17.843,0.214,18.844,2.196,5.6,287831726.0
97.62,287831723,114.133913,-69.523323,13,36,b'073632.13-693123.9',57030.4748,2,0,1,0,1,0.283,,,,,,,,,,,,,,,,,18.947,0.152,17.907,0.233,,,,,4.5,287831724.0
97.89,287832201,114.0666,-69.567556,13,36,b'073615.98-693403.2',57030.4748,0,0,1,0,1,0.563,,,,,,,,,,,,,,,,,18.357,0.028,18.576,0.164,,,,,60.0,
100.95,287831722,114.137236,-69.522521,13,36,b'073632.93-693121.0',57036.5067,3,0,1,0,1,0.496,,,,,,,,,,,,,,,,,,,,,17.432,0.076,15.495,0.071,3.0,287831719.0
102.02,287831724,114.134815,-69.522124,13,36,b'073632.35-693119.6',57036.506,0,0,1,0,1,0.363,,,,,,,,,,,,,18.142,0.113,18.875,0.3,,,,,,,,,3.4,287831722.0
102.67,287832212,114.070433,-69.529716,36,36,b'073616.90-693146.9',57030.4746,0,0,4,0,1,0.953,,,,,,,,,17.709,0.023,17.535,0.113,17.401,0.01,17.406,0.103,17.173,0.028,17.123,0.09,17.061,0.028,16.963,0.099,11.8,287832205.0
103.93,287831719,114.13802,-69.521722,13,36,b'073633.12-693118.1',57030.4751,0,0,1,0,1,0.003,,,,,,,,,,,,,,,,,,,,,18.94,0.312,16.315,0.13,3.0,287831722.0
105.34,287831514,114.162685,-69.576772,48,36,b'073639.04-693436.3',57030.475,0,0,2,0,1,0.567,,,,,,,,,,,,,,,,,17.901,0.016,17.972,0.144,17.557,0.034,17.644,0.114,60.0,
110.8,287831701,114.214441,-69.547128,32,49,b'073651.46-693249.6',57030.4746,0,0,4,0,1,0.935,,,,,,,,,18.218,0.024,18.426,0.15,17.646,0.023,17.783,0.095,17.172,0.014,17.31,0.091,17.013,0.02,17.22,0.105,60.0,
111.31,287831718,114.143302,-69.519948,13,36,b'073634.39-693111.8',57030.4751,0,0,1,0,1,0.001,,,,,,,,,,,,,,,,,,,,,18.228,0.152,16.894,0.161,3.2,287831758.0
114.28,287831758,114.142612,-69.519063,640,36,b'073634.32-693108.6',57036.5062,3,0,2,0,1,0.529,,,,,,,,,,,,,17.894,0.05,18.728,0.188,17.333,0.032,17.14,0.285,,,,,3.1,287831756.0
114.72,287831756,114.145478,-69.519133,350,616,b'073634.91-693108.8',57032.4852,3,0,2,0,2,0.492,,,,,,,,,,,,,17.893,0.315,17.354,0.153,,,,,18.057,0.269,16.664,0.179,3.1,287831758.0
114.75,287831513,114.180255,-69.57617,13,36,b'073643.26-693434.2',57030.4737,0,7,1,0,1,0.504,,,,,17.208,0.054,17.761,0.145,,,,,,,,,,,,,,,,,60.0,
115.1,287831717,114.148616,-69.519274,13,36,b'073635.66-693109.3',57036.506,2,0,1,0,1,0.439,,,,,,,,,,,,,17.951,0.105,18.373,0.438,,,,,,,,,4.0,287831756.0
117.44,287831965,114.10815,-69.582288,25,100,b'073625.95-693456.2',57030.475,0,0,2,0,1,0.946,,,,,,,,,,,,,,,,,17.431,0.008,17.405,0.107,16.92,0.011,17.018,0.082,60.0,
121.65,287831698,114.223381,-69.552325,73,36,b'073653.60-693308.3',57030.475,0,0,2,0,1,0.53,,,,,,,,,,,,,,,,,18.026,0.031,18.261,0.169,17.85,0.031,17.988,0.128,60.0,
123.92,287831755,114.150203,-69.516887,13,36,b'073636.04-693100.7',57030.4745,0,0,1,0,1,0.584,,,,,,,,,,,,,18.827,0.127,18.086,0.249,,,,,,,,,3.7,287831738.0
124.62,287831502,114.219364,-69.562721,40,38,b'073652.64-693345.7',57030.4746,0,0,4,0,1,0.953,,,,,,,,,18.072,0.024,18.16,0.16,17.558,0.017,17.547,0.115,17.289,0.038,17.514,0.095,17.151,0.012,17.221,0.115,60.0,
126.76,287831759,114.133917,-69.515201,13,36,b'073632.14-693054.7',57036.5067,3,0,1,0,1,0.477,,,,,,,,,,,,,,,,,,,,,17.974,0.161,17.51,0.561,5.0,287831757.0
127.05,287831700,114.226635,-69.54492,27,36,b'073654.39-693241.7',57030.4746,0,0,4,0,1,0.981,,,,,,,,,16.942,0.016,16.908,0.059,16.421,0.011,16.414,0.043,16.058,0.019,15.994,0.035,15.915,0.029,15.837,0.038,4.5,287831699.0
127.14,287831738,114.14952,-69.51591,247,175,b'073635.92-693057.1',57030.4746,3,0,3,0,1,0.52,,,,,,,,,18.695,0.294,17.088,0.103,18.701,0.26,17.228,0.102,,,,,17.964,0.318,15.57,0.111,3.7,287831755.0
130.14,287831757,114.137027,-69.514351,13,36,b'073632.88-693051.6',57036.5067,3,0,1,0,1,0.456,,,,,,,,,,,,,,,,,,,,,17.601,0.038,17.871,0.666,3.3,287831760.0
130.5,287831707,114.208486,-69.527979,13,36,b'073650.03-693140.7',57030.4751,0,0,1,0,1,0.495,,,,,,,,,,,,,,,,,,,,,18.145,0.039,18.197,0.278,60.0,
130.88,287831699,114.229923,-69.545425,77,291,b'073655.17-693243.6',57030.475,1,0,2,0,1,0.17,,,,,,,,,,,,,,,,,18.311,0.109,17.823,0.2,17.763,0.149,16.941,0.148,4.5,287831700.0
131.23,287831740,114.149103,-69.514713,731,378,b'073635.82-693052.8',57033.4904,3,0,2,0,1,0.359,,,,,,,,,,,,,17.181,0.043,16.559,0.228,18.033,0.38,15.87,0.171,,,,,2.6,287831741.0
131.95,287831709,114.19297,-69.521888,122,80,b'073646.31-693118.8',57030.4748,0,0,3,0,1,0.489,,,,,,,,,,,,,18.715,0.016,18.718,0.209,18.577,0.034,18.855,0.291,18.571,0.03,18.853,0.278,5.9,287831708.0
132.27,287831760,114.135105,-69.513697,419,376,b'073632.43-693049.3',57032.4853,2,0,3,0,1,0.594,,,,,,,,,,,,,17.911,0.042,17.82,0.35,18.469,0.297,17.794,0.47,18.708,0.144,17.918,0.242,3.3,287831757.0
133.27,287831741,114.147997,-69.514052,167,528,b'073635.49-693050.8',57030.4746,3,0,3,0,1,0.022,,,,,,,,,18.558,0.212,16.973,0.103,18.475,0.282,15.794,0.083,,,,,17.967,0.206,16.794,0.291,2.6,287831740.0
134.99,287831501,114.222437,-69.567386,39,40,b'073653.38-693402.5',57030.4748,0,0,3,0,1,0.754,,,,,,,,,,,,,18.595,0.033,18.955,0.304,17.903,0.048,17.919,0.13,17.843,0.02,17.813,0.179,4.4,287831500.0
136.0,287831708,114.197657,-69.521793,13,36,b'073647.43-693118.4',57030.4751,0,0,1,0,1,0.494,,,,,,,,,,,,,,,,,,,,,18.397,0.096,18.904,0.363,5.9,287831709.0
136.47,287831763,114.127934,-69.512419,13,36,b'073630.70-693044.7',57030.4748,0,0,1,0,1,0.497,,,,,,,,,,,,,,,,,18.843,0.244,17.35,0.167,,,,,2.2,287831765.0
136.9,287831761,114.133029,-69.51236,354,374,b'073632.05-693044.7',57033.4907,3,0,4,0,1,0.539,,,,,,,,,,,,,18.453,0.225,17.695,0.343,17.665,0.056,17.114,0.164,17.495,0.214,17.016,0.253,4.1,287831762.0
136.92,287831762,114.130313,-69.51231,13,36,b'073631.27-693044.3',57036.5063,2,0,1,0,1,0.393,,,,,,,,,,,,,,,,,18.074,0.053,17.978,0.302,,,,,3.0,287831763.0
136.97,287831739,114.15181,-69.513294,13,36,b'073636.43-693047.8',57030.4748,3,0,1,0,1,0.0,,,,,,,,,,,,,,,,,18.132,0.352,18.734,2.425,,,,,5.8,287831741.0
138.49,287831500,114.225873,-69.567161,47,36,b'073654.20-693401.7',57030.475,0,0,2,0,1,0.52,,,,,,,,,,,,,,,,,18.647,0.05,18.976,0.164,18.173,0.063,18.274,0.189,4.4,287831501.0
138.65,287831765,114.127885,-69.511814,13,36,b'073630.69-693042.5',57036.5063,2,0,1,0,1,0.355,,,,,,,,,,,,,,,,,17.929,0.046,18.246,0.313,,,,,2.2,287831763.0
141.81,287831764,114.12779,-69.510934,13,36,b'073630.66-693039.3',57036.5067,2,0,1,0,1,0.393,,,,,,,,,,,,,,,,,,,,,17.795,0.108,17.692,0.263,3.2,287831765.0
144.34,287831737,114.16307,-69.512286,28,36,b'073639.15-693044.2',57033.0597,0,0,7,0,1,0.983,,,,,,,,,15.944,0.013,16.035,0.026,15.195,0.02,15.284,0.025,14.744,0.004,14.783,0.011,14.564,0.007,14.636,0.068,14.8,287831739.0
145.44,287831742,114.148262,-69.510627,202,478,b'073635.43-693035.7',57034.4956,3,0,3,0,1,0.453,,,,,,,,,,,,,17.541,0.156,15.622,0.542,17.213,0.126,18.709,2.524,,,,,2.6,287831743.0
147.68,287831706,114.220097,-69.525429,76,100,b'073652.83-693131.4',57032.8875,2,0,5,0,1,0.931,,,,,,,,,,,,,18.051,0.031,17.897,0.163,17.328,0.014,17.457,0.155,17.062,0.078,17.073,0.12,60.0,
148.29,287831743,114.145826,-69.509674,246,184,b'073635.00-693034.5',57032.8874,3,0,4,0,2,0.357,,,,,,,,,,,,,17.646,0.189,16.878,0.173,17.829,0.34,15.256,0.122,17.257,0.407,15.873,0.483,2.6,287831742.0
150.78,287831966,114.106995,-69.591632,13,36,b'073625.67-693529.8',57030.4748,0,0,1,0,1,0.491,,,,,,,,,,,,,,,,,18.636,0.039,18.745,0.258,,,,,60.0,
151.14,287831745,114.143226,-69.508734,540,546,b'073634.30-693031.8',57032.4851,3,0,3,0,1,0.475,,,,,,,,,18.867,0.219,18.0,0.162,17.757,0.069,18.098,0.306,,,,,17.996,0.315,16.879,0.376,2.7,287831746.0
151.42,287831744,114.147896,-69.508913,13,36,b'073635.49-693032.0',57030.4742,0,0,1,0,1,0.579,,,,,,,,,18.72,0.271,16.886,0.09,,,,,,,,,,,,,3.6,287831743.0
152.31,287831697,114.247703,-69.552935,13,36,b'073659.44-693310.5',57030.4751,0,0,1,0,1,0.512,,,,,,,,,,,,,,,,,,,,,18.416,0.072,18.662,0.196,60.0,
152.33,287831749,114.140833,-69.508295,13,36,b'073633.79-693029.8',57036.506,2,0,1,0,1,0.384,,,,,,,,,,,,,17.857,0.036,17.499,0.191,,,,,,,,,2.5,287831746.0
153.01,287831499,114.239061,-69.566762,31,36,b'073657.36-693400.3',57030.4743,0,0,5,0,1,0.98,18.135,0.039,18.366,0.218,,,,,16.971,0.007,16.993,0.058,16.6,0.005,16.673,0.05,16.306,0.006,16.355,0.043,16.167,0.009,16.192,0.052,6.1,287831498.0
153.32,287831746,114.142713,-69.508099,13,36,b'073634.25-693029.1',57030.4745,3,0,1,0,1,0.011,,,,,,,,,,,,,18.481,0.304,16.411,0.109,,,,,,,,,2.5,287831749.0
154.24,287831962,114.167408,-69.59076,48,36,b'073640.18-693526.7',57030.4746,0,0,4,0,1,0.977,,,,,,,,,17.398,0.01,17.343,0.082,16.976,0.021,17.141,0.069,16.571,0.02,16.707,0.051,16.41,0.005,16.484,0.051,60.0,
155.81,287831747,114.142633,-69.5074,13,36,b'073634.23-693026.6',57030.4745,3,0,1,0,1,0.5,,,,,,,,,,,,,18.783,0.226,17.722,0.137,,,,,,,,,2.5,287831748.0
156.3,287831964,114.123097,-69.593721,139,101,b'073629.56-693537.4',57032.4853,0,0,6,0,1,0.944,,,,,,,,,18.167,0.033,18.324,0.138,17.65,0.022,17.782,0.125,17.275,0.025,17.586,0.395,17.001,0.019,17.134,0.144,60.0,
156.85,287831748,114.140982,-69.507037,13,36,b'073633.83-693025.3',57036.506,1,0,1,0,1,0.357,,,,,,,,,,,,,17.899,0.119,18.167,0.209,,,,,,,,,2.5,287831747.0
157.24,287831696,114.250774,-69.544669,13,36,b'073700.18-693240.8',57030.4737,0,6,1,0,1,0.471,,,,,17.654,0.077,18.168,0.232,,,,,,,,,,,,,,,,,12.1,287831695.0
158.19,287831705,114.232445,-69.526496,63,58,b'073655.77-693135.3',57033.0597,0,0,7,0,1,0.968,,,,,,,,,17.607,0.015,17.696,0.099,17.108,0.072,17.319,0.075,16.82,0.039,16.845,0.061,16.677,0.03,16.985,0.068,60.0,
158.55,287831510,114.230122,-69.5756,25,61,b'073655.23-693432.1',57030.4746,0,0,4,0,1,0.959,,,,,,,,,17.634,0.015,17.584,0.088,17.36,0.034,17.097,0.086,17.124,0.011,17.142,0.106,17.089,0.012,17.235,0.115,60.0,
158.82,287831498,114.242805,-69.567812,13,36,b'073658.27-693404.1',57030.4748,0,0,1,0,1,0.43,,,,,,,,,,,,,,,,,18.541,0.041,18.591,0.22,,,,,6.1,287831499.0
158.93,287831975,114.07978,-69.591303,40,56,b'073619.16-693528.7',57033.0597,0,0,7,0,1,0.982,,,,,,,,,17.219,0.005,17.269,0.071,16.376,0.023,16.376,0.06,15.66,0.011,15.71,0.088,15.416,0.022,15.499,0.023,60.0,
160.12,287831766,114.097209,-69.507071,13,36,b'073623.33-693025.4',57036.5063,3,0,1,0,1,0.409,,,,,,,,,,,,,,,,,16.969,0.101,17.3,0.144,,,,,2.3,287831767.0
160.53,287831767,114.095336,-69.507114,108,43,b'073622.89-693025.6',57033.0597,2,0,7,0,1,0.974,,,,,,,,,17.284,0.021,17.268,0.064,16.835,0.052,16.846,0.061,16.665,0.012,16.699,0.073,16.503,0.081,16.383,0.345,2.3,287831766.0
166.32,287831511,114.215211,-69.584712,17,36,b'073651.64-693504.9',57030.4746,0,0,4,0,1,0.922,,,,,,,,,18.403,0.044,18.393,0.153,17.837,0.033,18.003,0.12,17.315,0.036,17.601,0.112,17.021,0.035,16.955,0.083,60.0,
167.02,287831769,114.083155,-69.506516,220,130,b'073619.89-693023.5',57033.0597,2,0,7,0,1,0.415,,,,,,,,,17.993,0.24,16.246,0.088,17.366,0.123,17.039,0.085,17.054,0.093,16.731,0.089,17.028,0.127,16.467,0.098,14.5,287831768.0
167.16,287831695,114.259213,-69.5463,18,36,b'073702.21-693246.6',57030.4748,0,0,3,0,1,0.542,,,,,,,,,,,,,18.541,0.057,18.677,0.208,18.341,0.015,18.489,0.262,18.327,0.023,18.48,0.265,11.1,287831694.0
169.15,287832217,113.997496,-69.537498,37,49,b'073559.39-693215.0',57030.4748,0,0,3,0,1,0.611,,,,,,,,,,,,,18.428,0.031,18.235,0.181,17.995,0.01,18.108,0.2,17.486,0.017,17.395,0.153,60.0,
169.5,287831963,114.139113,-69.597212,41,36,b'073633.38-693549.9',57030.4746,0,0,4,0,1,0.893,,,,,,,,,18.078,0.026,17.921,0.125,17.797,0.008,17.863,0.116,17.613,0.03,17.828,0.128,17.36,0.009,17.496,0.133,60.0,
169.76,287831704,114.248424,-69.529905,13,36,b'073659.62-693147.6',57030.4748,0,0,1,0,1,0.614,,,,,,,,,,,,,,,,,18.286,0.01,18.314,0.205,,,,,60.0,
171.75,287831694,114.261892,-69.543361,34,36,b'073702.83-693236.0',57030.4743,0,0,5,0,1,0.984,17.333,0.036,16.883,0.155,,,,,15.306,0.006,15.306,0.016,14.788,0.004,14.844,0.012,14.453,0.003,14.491,0.01,14.33,0.004,14.396,0.01,11.1,287831695.0
171.84,287831497,114.252527,-69.569075,19,36,b'073700.60-693408.6',57030.4746,0,0,4,0,1,0.878,,,,,,,,,17.995,0.023,17.918,0.188,17.948,0.039,18.208,0.183,17.548,0.014,17.604,0.116,17.441,0.021,17.62,0.131,13.0,287831498.0
178.03,287831735,114.176924,-69.504079,36,74,b'073642.48-693014.6',57033.0597,2,1,7,0,1,0.963,,,,,,,,,18.426,0.048,18.158,0.224,17.68,0.081,17.867,0.105,17.025,0.1,17.287,0.7,16.596,0.01,16.649,0.054,60.0,
178.31,287832208,113.991659,-69.565308,65,36,b'073557.99-693355.1',57030.4746,0,0,4,0,1,0.955,,,,,,,,,18.924,0.03,18.73,0.271,18.302,0.026,18.419,0.182,17.308,0.027,17.404,0.077,16.784,0.011,16.783,0.075,60.0,
179.1,287831768,114.085915,-69.502678,17,36,b'073620.61-693009.6',57030.475,0,0,2,0,1,0.284,,,,,,,,,,,,,,,,,18.309,0.038,18.369,0.198,18.152,0.02,18.215,0.233,14.5,287831769.0
182.18,287831752,114.129924,-69.499732,50,36,b'073631.15-692958.9',57032.4849,0,0,9,1,1,0.982,17.978,0.05,18.623,0.196,17.31,0.029,17.487,0.253,16.393,0.003,16.427,0.039,16.081,0.04,16.053,0.03,15.848,0.003,15.899,0.026,15.826,0.017,15.889,0.074,60.0,
183.94,287832207,113.999945,-69.575776,94,97,b'073559.98-693432.7',57030.4748,0,0,3,0,1,0.826,,,,,,,,,,,,,17.892,0.044,17.718,0.139,17.691,0.037,17.668,0.129,17.454,0.026,17.312,0.124,60.0,
184.5,287831496,114.263245,-69.56922,42,36,b'073703.17-693409.1',57030.4746,0,0,4,0,1,0.958,,,,,,,,,17.849,0.037,17.705,0.096,17.453,0.008,17.551,0.105,17.174,0.016,17.25,0.086,17.086,0.012,17.236,0.112,10.6,287831494.0
185.94,287832210,113.982852,-69.562097,13,36,b'073555.88-693343.5',57030.4751,0,0,1,0,1,0.515,,,,,,,,,,,,,,,,,,,,,17.935,0.016,17.991,0.231,60.0,
186.31,287831685,114.226313,-69.512009,32,36,b'073654.29-693043.1',57033.0597,0,0,7,0,1,0.981,,,,,,,,,17.573,0.037,17.562,0.123,16.726,0.076,16.949,0.127,16.293,0.054,16.35,0.137,16.175,0.006,16.218,0.042,12.3,287831684.0
186.36,287832218,113.996713,-69.525611,13,36,b'073559.21-693132.1',57030.4751,0,0,1,0,1,0.441,,,,,,,,,,,,,,,,,,,,,18.573,0.091,19.03,0.259,60.0,
187.46,287831750,114.151977,-69.499001,23,95,b'073636.47-692956.3',57030.4746,0,0,2,0,1,0.487,,,,,,,,,,,,,18.509,0.047,18.826,0.18,18.024,0.011,18.087,0.182,,,,,60.0,
187.85,287831681,114.258698,-69.525875,51,82,b'073702.09-693133.2',57033.0597,0,0,7,0,1,0.968,,,,,,,,,17.323,0.01,17.327,0.088,16.962,0.038,16.991,0.077,16.716,0.009,16.734,0.051,16.632,0.063,16.468,0.333,60.0,
189.91,287831973,114.099471,-69.602207,111,57,b'073623.84-693607.8',57033.0597,3,0,7,0,1,0.967,,,,,,,,,17.226,0.005,17.23,0.076,16.921,0.011,16.897,0.201,16.542,0.057,16.42,0.358,16.536,0.044,16.465,0.332,6.4,287831972.0
190.06,287832219,113.977392,-69.542553,25,37,b'073554.58-693233.2',57030.4746,0,0,4,0,1,0.98,,,,,,,,,17.935,0.032,18.187,0.156,17.02,0.008,17.088,0.076,16.363,0.005,16.442,0.047,16.072,0.006,16.132,0.045,14.7,287832220.0
190.16,287831509,114.199061,-69.596744,32,36,b'073647.76-693548.2',57032.887,0,0,10,1,1,0.984,16.997,0.042,16.356,0.092,16.731,0.033,17.422,0.325,15.617,0.005,15.649,0.022,15.233,0.01,15.266,0.015,14.943,0.038,14.994,0.016,14.863,0.003,14.919,0.014,60.0,
191.82,287831684,114.235598,-69.513011,53,69,b'073656.53-693046.7',57032.8875,0,0,5,0,1,0.962,,,,,,,,,,,,,18.571,0.022,18.634,0.246,17.305,0.031,17.459,0.12,16.772,0.038,16.837,0.061,12.3,287831685.0
195.09,287831494,114.27127,-69.570134,15,36,b'073705.10-693412.4',57030.4746,0,0,4,0,1,0.967,,,,,,,,,17.823,0.026,17.755,0.101,17.186,0.016,17.241,0.081,16.493,0.009,16.494,0.049,16.336,0.023,16.24,0.066,10.6,287831496.0
195.53,287831972,114.100512,-69.603856,54,80,b'073624.15-693614.0',57033.0597,2,0,7,0,1,0.979,,,,,,,,,17.321,0.009,17.297,0.09,16.811,0.012,16.923,0.059,16.491,0.042,16.422,0.112,16.513,0.073,16.531,0.051,6.4,287831973.0
195.86,287832213,114.00561,-69.516216,13,36,b'073601.34-693058.3',57030.4748,0,0,1,0,1,0.513,,,,,,,,,,,,,,,,,18.395,0.034,18.593,0.222,,,,,60.0,
196.13,287831957,114.151917,-69.604097,28,36,b'073636.47-693614.7',57033.0597,0,0,7,0,1,0.986,,,,,,,,,16.48,0.003,16.499,0.042,15.847,0.023,15.922,0.055,15.411,0.009,15.446,0.031,15.261,0.005,15.334,0.03,60.0,
199.3,287831495,114.28122,-69.562852,21,36,b'073707.48-693346.2',57030.4742,0,0,6,1,1,0.984,17.459,0.021,17.405,0.148,16.84,0.031,16.719,0.114,15.822,0.004,15.833,0.023,15.447,0.005,15.506,0.02,15.186,0.006,15.207,0.017,15.109,0.006,15.187,0.019,60.0,
