r_cntr,object_id,raj2000,dej2000,e_raj2000,e_dej2000,smss_j,mean_epoch,flags,nimaflags,ngood,ngood_min,nch_max,class_star,u_psf,e_u_psf,u_petro,e_u_petro,v_psf,e_v_psf,v_petro,e_v_petro,g_psf,e_g_psf,g_petro,e_g_petro,r_psf,e_r_psf,r_petro,e_r_petro,i_psf,e_i_psf,i_petro,e_i_petro,z_psf,e_z_psf,z_petro,e_z_petro,prox,prox_id
431.91,287831426,114.454351,-69.586678,62,36,b'073749.04-693512.0',57030.4746,0,0,4,0,1,0.671,,,,,,,,,18.352,0.03,18.54,0.112,18.259,0.023,18.142,0.167,17.992,0.031,17.924,0.178,18.187,0.041,18.359,0.239,8.1,287831425.0
432.3,287832138,113.878578,-69.63355,94,66,b'073530.88-693800.8',57032.8875,0,0,5,0,1,0.953,,,,,,,,,,,,,17.644,0.02,17.584,0.114,17.241,0.03,17.306,0.208,16.998,0.02,17.17,0.169,60.0,
433.27,287832322,113.814342,-69.601252,13,36,b'073515.44-693604.5',57030.4751,0,0,1,0,1,0.492,,,,,,,,,,,,,,,,,,,,,17.986,0.023,18.029,0.212,60.0,
433.54,287832002,113.954154,-69.654637,13,36,b'073548.99-693916.6',57030.4751,0,0,1,0,1,0.448,,,,,,,,,,,,,,,,,,,,,18.673,0.105,19.025,0.215,7.9,287831989.0
433.84,287832263,113.795822,-69.51675,40,36,b'073510.99-693100.2',57030.475,0,0,2,0,1,0.778,,,,,,,,,,,,,,,,,17.518,0.026,17.471,0.105,17.49,0.024,17.698,0.182,60.0,
434.52,287831774,114.199381,-69.432332,48,36,b'073647.85-692556.4',57036.5063,3,0,3,0,1,0.616,,,,,,,,,,,,,16.681,0.01,16.49,0.096,16.514,0.014,15.988,0.091,16.313,0.005,16.266,0.135,9.3,287831773.0
434.84,287832274,113.932272,-69.450586,53,143,b'073543.74-692702.0',57036.5063,0,0,3,0,1,0.638,,,,,,,,,,,,,16.761,0.019,16.819,0.12,16.229,0.006,16.282,0.102,16.098,0.013,16.051,0.079,13.3,287832273.0
436.24,287831425,114.459257,-69.585198,22,36,b'073750.20-693506.7',57030.4743,0,0,5,0,1,0.986,18.281,0.109,18.795,0.203,,,,,16.179,0.005,16.229,0.03,15.69,0.01,15.677,0.025,15.389,0.004,15.421,0.021,15.285,0.005,15.378,0.022,8.1,287831426.0
436.4,287831428,114.438796,-69.603659,13,36,b'073745.31-693613.1',57036.5067,3,24,1,0,1,0.397,,,,,,,,,,,,,,,,,,,,,16.788,0.084,17.047,0.173,60.0,
436.56,287831947,114.140539,-69.671498,99,68,b'073633.73-694017.4',57030.4748,0,0,3,0,1,0.614,,,,,,,,,,,,,18.436,0.022,18.65,0.283,18.233,0.031,18.253,0.206,18.031,0.029,18.416,0.264,11.5,287831948.0
