recno,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Field,nobs,mobs,B-V,e_B-V,Vmag,e_Vmag,Bmag,e_Bmag,g_mag,e_g_mag,r_mag,e_r_mag,i_mag,e_i_mag
39349600,114.387103,-69.666483,0.914,0.745,20162735,5,19,0.778,0.139,16.089,0.08,16.867,0.113,16.389,0.029,15.843,0.136,15.358,0.093
39349604,114.132449,-69.672945,0.167,0.154,20162734,5,25,1.176,0.058,13.584,0.044,14.76,0.038,14.1,0.02,13.197,0.025,12.763,0.064
39349605,114.299661,-69.660314,0.236,0.112,20162734,5,25,1.393,0.04,11.749,0.032,13.142,0.025,12.383,0.014,11.228,0.023,10.691,0.133
39349606,114.329572,-69.61868,0.561,0.823,20162734,4,18,1.027,0.123,15.951,0.031,16.978,0.119,16.467,0.063,15.641,0.107,15.327,0.118
39349718,113.849372,-69.643212,0.474,0.687,20162734,5,30,1.121,0.089,15.086,0.058,16.207,0.067,15.592,0.029,14.732,0.029,14.338,0.038
39349720,114.106579,-69.665033,0.857,0.49,20162734,4,17,0.98,0.058,15.937,0.051,16.918,0.027,16.332,0.018,15.656,0.044,15.255,0.038
39349721,114.166134,-69.65112,0.352,0.217,20162734,5,35,0.682,0.047,14.439,0.035,15.12,0.032,14.705,0.023,14.207,0.032,13.961,0.114
39349722,114.131295,-69.621286,0.533,0.415,20162734,5,35,0.789,0.075,15.022,0.065,15.811,0.036,15.335,0.02,14.831,0.028,14.63,0.116
39349723,114.19237,-69.621556,1.181,1.141,20162734,3,20,0.697,0.08,16.548,0.052,17.245,0.061,16.851,0.048,16.388,0.015,,
39349724,114.192894,-69.621858,1.324,1.477,20162734,2,3,0.818,0.026,16.497,0.0,17.315,0.026,,,,,,
39349725,114.21064,-69.64076,0.61,0.928,20162734,5,26,1.106,0.105,15.877,0.047,16.983,0.094,16.366,0.058,15.324,0.033,14.92,0.114
39349726,114.241861,-69.602634,0.304,0.363,20162734,5,30,0.822,0.066,14.235,0.056,15.057,0.034,14.559,0.019,13.941,0.063,13.687,0.11
39349727,114.255844,-69.625024,0.799,0.738,20162734,3,11,0.64,0.116,16.221,0.045,16.862,0.107,16.48,0.061,16.071,0.067,15.867,0.0
39349728,114.126166,-69.608611,1.015,0.631,20162734,3,12,0.805,0.099,16.108,0.049,16.913,0.086,16.411,0.04,15.845,0.097,15.569,0.206
39349729,114.151977,-69.604099,1.375,1.104,20162734,4,13,0.993,0.056,16.347,0.032,17.341,0.046,16.739,0.018,15.894,0.158,15.4,0.0
39349730,114.199211,-69.596709,0.791,0.646,20162734,5,24,0.818,0.165,15.48,0.118,16.298,0.116,15.762,0.042,15.196,0.037,14.986,0.106
39349731,114.281587,-69.582581,0.355,0.081,20162734,5,28,0.401,0.047,10.93,0.038,11.332,0.028,11.074,0.059,10.815,0.032,10.667,0.148
39349732,114.002119,-69.638353,0.756,0.842,20162734,4,13,0.885,0.102,15.924,0.083,16.809,0.058,16.288,0.008,15.552,0.044,15.285,0.0
39349733,114.005132,-69.629201,0.243,0.222,20162734,5,25,0.667,0.049,14.074,0.03,14.741,0.039,14.328,0.019,13.868,0.04,13.665,0.047
