objName,objID,raMean,decMean,raMeanErr,decMeanErr,nDetections,randomID,projectionID,skyCellID,objInfoFlag,qualityFlag,raStack,decStack,raStackErr,decStackErr,epochMean,nStackDetections,ng,nr,ni,nz,ny,gQfPerfect,gMeanPSFMag,gMeanPSFMagErr,gMeanKronMag,gMeanKronMagErr,gMeanApMag,gMeanApMagErr,gFlags,rQfPerfect,rMeanPSFMag,rMeanPSFMagErr,rMeanKronMag,rMeanKronMagErr,rMeanApMag,rMeanApMagErr,rFlags,iQfPerfect,iMeanPSFMag,iMeanPSFMagErr,iMeanKronMag,iMeanKronMagErr,iMeanApMag,iMeanApMagErr,iFlags,zQfPerfect,zMeanPSFMag,zMeanPSFMagErr,zMeanKronMag,zMeanKronMagErr,zMeanApMag,zMeanApMagErr,zFlags,yQfPerfect,yMeanPSFMag,yMeanPSFMagErr,yMeanKronMag,yMeanKronMagErr,yMeanApMag,yMeanApMagErr,yFlags,Ang Sep (')
b'PSO J023645.090+145905.316',b'125980391877592353',39.1878791667,14.9848111111,0.119,0.119,2,0.491247011806,1600,79,268959744,32,b'',b'',,,55477.596412,0,0,2,0,0,0,,,,,,,,0,0.664,21.215,0.203,21.3,0.259,21.197,0.178,4120,,,,,,,,0,,,,,,,,0,,,,,,,,0,0.285
b'PSO J023645.176+145903.552',b'125980391882231532',39.1882375,14.9843194444,0.087,0.087,2,0.966622007048,1600,79,268959744,32,b'',b'',,,55477.5722338,0,2,0,0,0,0,0.677,20.788,0.09,20.698,0.039,20.497,0.011,4120,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,0.319
b'PSO J023642.640+145916.776',b'125980391777156066',39.1776666667,14.9879944444,0.148,0.148,2,0.674756041425,1600,79,268959744,32,b'',b'',,,56550.4212616,0,0,0,1,0,1,,,,,,,,0,,,,,,,,0,0.676,21.12,0.21,,,21.998,0.21,4120,,,,,,,,0,0.609,20.333,0.209,,,,,4120,0.36
b'PSO J023643.312+145856.399',b'125970391804539232',39.1804666667,14.9823333333,0.169,0.169,2,0.438358158281,1600,79,268959744,32,b'',b'',,,56233.3363194,0,0,0,2,0,0,,,,,,,,0,,,,,,,,0,0.637,21.529,0.121,,,21.658,0.282,4120,,,,,,,,0,,,,,,,,0,0.371
b'PSO J023645.486+145903.631',b'125980391894971482',39.1895625,14.9843,0.047,0.04,25,0.6786236611,1600,79,444915840,53,b'02 36 45.495',b'+14 59 03.56',0.001,0.001,56237.2375347,4,0,2,16,5,2,,,,,,,,16416,0.999,21.779,0.148,21.597,0.014,21.748,0.037,115000,0.999,21.226,0.086,20.885,0.067,20.732,0.079,16892216,0.999,20.778,0.279,20.496,0.266,20.431,0.213,115000,0.999,20.326,0.167,20.24,0.143,20.133,0.118,115000,0.384
b'PSO J023642.238+145911.095',b'125980391759604202',39.176025,14.9863777778,0.06,0.05,10,0.143065486237,1600,79,436527104,52,b'02 36 42.243',b'+14 59 11.10',0.001,0.001,56418.7178472,4,0,0,9,1,0,,,,,,,,16416,,,,,,,,114720,0.999,21.522,0.053,21.706,0.072,21.643,0.073,115000,0.997,21.422,0.172,21.052,0.268,21.008,0.172,115000,,,,,,,,114720,0.46
b'PSO J023643.910+145847.336',b'125970391829516276',39.1829916667,14.9797777778,0.01,0.011,40,0.913083975122,1600,79,436527104,52,b'02 36 43.913',b'+14 58 47.35',0.001,0.001,56156.877037,4,0,3,18,9,10,,,,,,,,0,0.999,21.434,0.155,21.913,0.126,21.502,0.242,115000,0.999,20.259,0.016,20.346,0.034,20.253,0.038,115000,0.999,19.551,0.016,19.63,0.031,19.516,0.044,115000,0.999,19.167,0.038,19.295,0.041,19.228,0.017,115000,0.47
b'PSO J023642.686+145853.984',b'125970391778128536',39.1779125,14.981625,0.087,0.087,4,0.766016032329,1600,79,436363264,52,b'02 36 42.688',b'+14 58 53.81',0.001,0.001,56546.0673727,4,0,0,2,1,1,,,,,,,,16416,,,,,,,,114720,0.998,21.79,0.102,22.475,0.148,22.391,0.03,115000,0.997,21.194,0.172,21.005,0.319,20.817,0.172,114992,0.998,20.447,0.175,19.861,0.205,19.865,0.175,16892216,0.496
b'PSO J023642.020+145903.980',b'125980391750271793',39.1751166667,14.9844055556,0.039,0.049,16,0.977127222323,1600,79,436527104,52,b'02 36 42.019',b'+14 59 03.98',0.001,0.001,56236.7611458,3,0,0,10,6,0,,,,,,,,16416,,,,,,,,16416,0.999,21.452,0.08,21.271,0.095,21.196,0.065,115000,0.999,21.036,0.083,20.893,0.036,20.779,0.082,115000,,,,,,,,114720,0.542
b'PSO J023645.062+145844.518',b'125970391877505335',39.1877833333,14.979025,0.015,0.014,42,0.379732361417,1600,79,436527104,52,b'02 36 45.062',b'+14 58 44.52',0.001,0.001,56162.587037,5,0,3,18,10,11,,,,,,,,114720,0.998,21.801,0.01,21.693,0.085,21.717,0.143,115000,0.999,20.655,0.022,20.726,0.049,20.622,0.044,115000,0.999,20.067,0.032,20.064,0.026,19.973,0.059,115000,0.999,19.792,0.052,19.619,0.153,19.595,0.058,115000,0.56
b'PSO J023646.610+145908.519',b'125980391942193398',39.1942375,14.9857027778,0.01,0.012,59,0.127330776423,1600,79,444915712,53,b'02 36 46.611',b'+14 59 08.52',0.001,0.001,56058.1978241,5,12,7,16,12,12,0.999,21.311,0.102,20.744,0.067,20.705,0.094,16892216,0.999,20.632,0.082,19.591,0.036,19.799,0.062,16892216,0.999,20.024,0.02,19.081,0.023,19.204,0.027,16892216,0.999,19.693,0.04,18.807,0.015,18.918,0.037,16892216,0.999,19.471,0.082,18.63,0.071,18.722,0.051,16892216,0.611
b'PSO J023643.269+145950.737',b'125990391803247383',39.180325,14.9973916667,0.052,0.05,10,0.757362153155,1600,79,436527104,52,b'02 36 43.280',b'+14 59 50.66',0.001,0.001,56163.1412847,3,0,0,1,6,3,,,,,,,,16416,,,,,,,,16416,0.998,21.914,0.181,,,21.981,0.181,115000,0.999,20.921,0.148,21.087,0.082,21.283,0.194,115000,0.998,20.259,0.067,20.463,0.118,20.348,0.085,115000,0.624
b'PSO J023646.563+145902.125',b'125980391940311378',39.1940125,14.983925,0.181,0.181,2,0.169666562387,1600,79,268959744,32,b'',b'',,,56972.4820949,0,0,0,2,0,0,,,,,,,,0,,,,,,,,0,0.653,21.143,0.063,,,21.978,0.721,4120,,,,,,,,0,,,,,,,,0,0.627
b'PSO J023646.399+145933.587',b'125990391932801686',39.1933625,14.992625,0.098,0.098,3,0.727684214458,1600,79,436281344,52,b'02 36 46.422',b'+14 59 33.49',0.001,0.001,56013.6057176,4,0,0,3,0,0,,,,,,,,16416,,,,,,,,114720,0.999,21.613,0.171,21.615,0.206,21.599,0.283,115000,,,,,,,,114720,,,,,,,,114720,0.628
b'PSO J023641.467+145913.510',b'125980391727405003',39.1728083333,14.987075,0.012,0.013,47,0.455833772622,1600,79,444915712,53,b'02 36 41.468',b'+14 59 13.51',0.001,0.001,56254.6707292,5,7,4,20,12,4,0.999,20.98,0.035,20.975,0.061,20.887,0.046,115000,0.999,20.788,0.021,20.634,0.03,20.585,0.011,115000,0.999,20.391,0.029,20.207,0.023,20.146,0.022,16892216,0.999,20.226,0.045,19.897,0.064,19.9,0.063,16892216,0.998,20.091,0.034,19.476,0.127,19.587,0.078,115000,0.642
b'PSO J023641.777+145934.344',b'125990391741621792',39.1741083333,14.9928361111,0.247,0.247,2,0.786829521681,1600,79,302067712,36,b'',b'',,,55935.2125232,0,0,0,0,0,2,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,0.898,20.474,0.247,,,20.084,0.247,280,0.648
b'PSO J023642.931+145836.693',b'125970391790542606',39.1789375,14.9768333333,0.099,0.099,3,0.457356295043,1600,79,436281344,52,b'02 36 42.942',b'+14 58 36.91',0.001,0.001,56440.2771181,3,0,0,1,1,1,,,,,,,,16416,,,,,,,,16416,0.997,21.258,0.183,,,21.368,0.183,115000,0.997,21.327,0.157,20.799,0.212,20.691,0.157,16892216,0.997,20.435,0.175,20.47,0.264,20.282,0.175,115000,0.704
b'PSO J023646.997+145855.700',b'125970391958049013',39.1958833333,14.9821138889,0.095,0.095,5,0.46752574804,1600,79,444669952,53,b'02 36 46.971',b'+14 58 55.66',0.001,0.001,56654.6150463,2,0,1,4,0,0,,,,,,,,16416,0.997,21.741,0.175,20.91,0.195,21.067,0.175,16892216,0.999,20.981,0.05,20.025,0.021,20.12,0.012,16892216,,,,,,,,16416,,,,,,,,16416,0.769
b'PSO J023645.514+145957.146',b'125990391896389523',39.1896791667,14.9991638889,0.052,0.057,18,0.622989197842,1600,79,444915712,53,b'02 36 45.518',b'+14 59 57.11',0.001,0.001,56268.6776968,4,0,2,13,3,0,,,,,,,,16416,0.999,22.139,0.082,21.683,0.206,21.72,0.036,115000,0.999,21.499,0.058,21.126,0.1,21.135,0.083,115000,0.998,20.963,0.083,20.479,0.115,20.47,0.129,16892216,,,,,,,,114720,0.773
b'PSO J023643.630+150007.142',b'126000391817642825',39.1818291667,15.0019472222,0.033,0.022,31,0.879754849598,1600,79,444915712,53,b'02 36 43.631',b'+15 00 07.10',0.001,0.001,56290.6253935,4,0,0,16,13,2,,,,,,,,16416,,,,,,,,114720,0.999,21.031,0.047,20.516,0.051,20.551,0.068,16892216,0.999,20.567,0.037,20.264,0.096,20.234,0.094,16892216,0.999,20.212,0.146,20.141,0.324,20.272,0.072,115000,0.871
b'PSO J023647.769+145912.683',b'125980391990164778',39.1990666667,14.9868472222,0.016,0.015,49,0.545532089235,1600,79,444915712,53,b'02 36 47.769',b'+14 59 12.68',0.001,0.001,56097.7584375,5,8,7,18,11,5,1.0,21.383,0.11,21.177,0.051,21.148,0.085,115000,0.999,20.941,0.052,20.413,0.026,20.386,0.042,16892216,0.999,20.533,0.032,20.028,0.024,19.977,0.032,16892216,0.999,20.245,0.03,19.61,0.043,19.601,0.034,16892216,0.998,20.067,0.076,19.683,0.09,19.578,0.122,16892216,0.882
b'PSO J023641.380+145950.763',b'125990391724107428',39.17245,14.997425,0.005,0.013,41,0.423132556885,1600,79,436527104,52,b'02 36 41.381',b'+14 59 50.76',0.001,0.001,56204.1957639,5,2,5,15,11,8,0.999,21.334,0.102,20.936,0.15,20.934,0.0,115000,0.999,20.415,0.034,20.41,0.041,20.305,0.051,115000,0.999,19.403,0.01,19.492,0.019,19.408,0.011,115000,0.999,18.865,0.011,18.951,0.032,18.856,0.032,115000,0.998,18.572,0.022,18.742,0.041,18.634,0.045,115000,0.888
b'PSO J023647.705+145927.876',b'125980391987619717',39.1988083333,14.9910388889,0.055,0.059,13,0.597158410211,1600,79,436527104,52,b'02 36 47.708',b'+14 59 27.81',0.001,0.001,56454.208588,4,0,0,9,4,0,,,,,,,,16416,,,,,,,,114720,0.999,21.528,0.058,21.562,0.066,21.553,0.068,115000,0.999,21.096,0.075,20.993,0.09,20.778,0.074,115000,,,,,,,,114720,0.89
b'PSO J023640.690+145854.841',b'125970391695728774',39.1695791667,14.9818805556,0.031,0.029,27,0.773938582068,1600,79,436527104,52,b'02 36 40.691',b'+14 58 54.84',0.001,0.001,56212.2455671,5,0,6,16,5,0,,,,,,,,114720,0.999,21.434,0.025,21.366,0.082,21.194,0.085,115000,0.999,21.295,0.044,21.02,0.048,20.954,0.059,115000,0.999,21.001,0.057,20.429,0.083,20.431,0.084,115000,,,,,,,,114720,0.896
b'PSO J023641.084+145949.087',b'125990391710976946',39.1711833333,14.9969694444,0.159,0.159,2,0.716451885846,1600,79,268959744,32,b'',b'',,,55935.2055671,0,0,0,0,0,2,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,0.797,19.992,0.326,,,20.172,0.248,4120,0.927
b'PSO J023647.566+145940.723',b'125990391981474012',39.1982208333,14.9946138889,0.04,0.022,11,0.803770060468,1600,79,302309376,36,b'',b'',,,55725.9983218,0,4,3,4,0,0,1.0,20.166,0.05,20.17,0.024,20.085,0.029,1048,0.999,20.209,0.017,19.646,0.057,19.627,0.009,16778264,0.999,19.472,0.016,19.494,0.038,19.427,0.011,16778264,,,,,,,,0,,,,,,,,0,0.933
b'PSO J023641.960+150005.214',b'126000391747342086',39.1748666667,15.0014111111,0.018,0.018,2,0.480422801786,1600,79,268513280,32,b'',b'',,,55897.2783218,0,0,1,1,0,0,,,,,,,,0,0.998,18.313,0.009,18.915,0.02,18.826,0.009,24,0.733,21.804,0.291,,,24.787,0.291,4120,,,,,,,,0,,,,,,,,0,0.981
b'PSO J023645.582+150013.539',b'126000391899765055',39.1899291667,15.0037611111,0.171,0.171,2,0.619819392096,1600,79,268959744,32,b'',b'',,,55477.5710185,0,2,0,0,0,0,0.0,21.135,0.222,,,20.947,0.467,4120,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,1.033
b'PSO J023639.875+145927.856',b'125980391661299795',39.1661791667,14.9910472222,0.011,0.011,42,0.564853138816,1600,79,436527232,52,b'02 36 39.875',b'+14 59 27.86',0.001,0.001,56066.8173264,5,0,5,12,13,12,,,,,,,,114720,0.999,21.014,0.036,21.142,0.086,21.009,0.115,115000,0.999,20.136,0.022,20.3,0.044,20.178,0.023,115000,0.999,19.716,0.022,19.719,0.058,19.641,0.031,115000,0.999,19.382,0.021,19.485,0.052,19.356,0.071,115000,1.046
b'PSO J023639.823+145924.813',b'125980391659388771',39.1659583333,14.9902083333,0.03,0.006,42,0.0525890691696,1600,79,436527232,52,b'02 36 39.823',b'+14 59 24.81',0.001,0.001,55950.3446181,5,1,6,11,12,12,0.999,21.666,0.151,21.326,0.171,21.169,0.151,16892984,0.998,20.582,0.033,20.676,0.068,20.572,0.032,115000,1.0,19.768,0.021,19.841,0.03,19.768,0.031,115000,0.999,19.36,0.017,19.397,0.029,19.299,0.024,115000,0.999,19.052,0.041,19.108,0.078,19.017,0.059,115000,1.05
b'PSO J023645.480+145815.444',b'125960391895055637',39.1895375,14.9709166667,0.214,0.214,2,0.217832213471,1600,79,310456320,37,b'',b'',,,55935.2125232,0,0,0,1,0,1,,,,,,,,0,,,,,,,,0,0.825,21.604,0.271,,,,,4120,,,,,,,,0,0.929,20.396,0.213,19.574,0.201,19.742,0.213,16777496,1.052
b'PSO J023641.601+150009.176',b'126000391733363551',39.1733791667,15.0025166667,0.202,0.202,2,0.868976199877,1600,79,302067712,36,b'',b'',,,55530.2783449,0,0,0,2,0,0,,,,,,,,0,,,,,,,,0,0.999,21.394,0.201,21.22,0.254,21.727,0.201,280,,,,,,,,0,,,,,,,,0,1.084
b'PSO J023648.459+145852.928',b'125970392018958094',39.20195,14.9813305556,0.092,0.057,9,0.429045813558,1600,79,436527104,52,b'02 36 48.462',b'+14 58 52.86',0.001,0.001,56496.8640278,3,0,0,8,1,0,,,,,,,,16416,,,,,,,,16416,0.999,21.656,0.049,21.379,0.077,21.355,0.104,115000,0.987,21.29,0.152,20.772,0.19,20.708,0.152,16892216,,,,,,,,114720,1.113
b'PSO J023648.348+145846.075',b'125970392015155866',39.2014833333,14.9794277778,0.131,0.131,2,0.630042250855,1600,79,1375809536,164,b'02 36 48.374',b'+14 58 46.16',0.001,0.001,56932.4271528,1,0,0,2,0,0,,,,,,,,16416,,,,,,,,16416,0.349,21.911,0.008,,,22.141,0.204,115256,,,,,,,,16416,,,,,,,,16416,1.132
b'PSO J023643.989+145806.883',b'125960391832542757',39.1833208333,14.9685444444,0.124,0.124,2,0.0870894688061,1600,79,1375809536,164,b'02 36 44.003',b'+14 58 06.86',0.001,0.001,56069.4451852,1,0,0,2,0,0,,,,,,,,16416,,,,,,,,16416,0.998,21.212,0.045,20.742,0.306,20.58,0.488,115000,,,,,,,,16416,,,,,,,,16416,1.142
b'PSO J023647.917+145959.433',b'126000391996590287',39.1996916667,14.9998083333,0.121,0.121,2,0.633349699558,1600,79,302067712,36,b'',b'',,,56196.6254745,0,0,0,1,0,1,,,,,,,,0,,,,,,,,0,0.391,20.914,0.253,,,21.434,0.253,4120,,,,,,,,0,0.998,19.541,0.12,18.75,0.143,18.845,0.12,16777496,1.175
b'PSO J023643.911+150029.743',b'126010391829820335',39.1829625,15.0082611111,0.236,0.236,2,0.197603081537,1600,79,268959744,32,b'',b'',,,56359.5402199,0,1,0,0,1,0,0.471,21.093,0.306,,,,,4112,,,,,,,,0,,,,,,,,0,0.542,22.044,0.369,,,,,4120,,,,,,,,0,1.243
b'PSO J023639.426+145947.415',b'125990391641236403',39.164275,14.9965055556,0.185,0.185,2,0.426279064665,1600,79,268959744,32,b'',b'',,,56233.3347338,0,0,0,2,0,0,,,,,,,,0,,,,,,,,0,0.603,21.436,0.226,,,21.923,0.024,4120,,,,,,,,0,,,,,,,,0,1.256
b'PSO J023645.591+145800.712',b'125960391899890565',39.1899416667,14.9668027778,0.042,0.046,26,0.441086300128,1600,79,444915712,53,b'02 36 45.592',b'+14 58 00.71',0.001,0.001,56230.6055324,5,0,4,15,6,1,,,,,,,,114720,0.998,21.614,0.123,21.718,0.072,21.645,0.149,115000,0.999,21.19,0.056,20.765,0.056,20.711,0.061,16892216,0.999,21.001,0.011,20.143,0.264,20.298,0.253,16892216,0.999,20.133,0.154,18.504,0.102,19.201,0.154,16892216,1.294
b'PSO J023639.712+145830.713',b'125970391656610676',39.1655041667,14.9751611111,0.236,0.236,2,0.0761409765819,1600,79,302067712,36,b'',b'',,,55811.6359491,0,0,0,0,2,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,0.858,21.262,0.235,,,21.449,0.235,272,,,,,,,,0,1.299
b'PSO J023646.842+145806.989',b'125960391951502655',39.1951791667,14.9686083333,0.235,0.235,2,0.0592020806476,1600,79,268959744,32,b'',b'',,,56171.5170255,0,0,0,0,2,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,0.62,20.65,0.001,,,,,4120,,,,,,,,0,1.313
b'PSO J023641.946+150027.605',b'126000391747899658',39.1748083333,15.0076305556,0.02,0.021,37,0.0218822229857,1600,79,436527104,52,b'02 36 41.947',b'+15 00 27.50',0.001,0.001,56203.7124768,4,0,0,15,13,9,,,,,,,,16416,,,,,,,,114720,0.999,20.983,0.031,21.057,0.046,20.946,0.054,115000,0.999,20.4,0.02,20.435,0.028,20.33,0.041,115000,0.999,19.923,0.029,20.028,0.141,20.39,0.171,115000,1.313
b'PSO J023638.584+145911.562',b'125980391607644374',39.1608083333,14.9865027778,0.056,0.056,15,0.393956845062,1600,79,444915712,53,b'02 36 38.590',b'+14 59 11.58',0.001,0.001,56341.2036343,3,0,0,9,6,0,,,,,,,,16416,,,,,,,,16416,0.999,21.344,0.078,21.062,0.087,20.973,0.116,16892216,0.999,20.985,0.119,20.362,0.158,20.545,0.128,16892216,,,,,,,,114720,1.338
b'PSO J023639.065+145842.149',b'125970391627634568',39.1627958333,14.97835,0.017,0.004,67,0.956922929694,1600,79,436527104,52,b'02 36 39.065',b'+14 58 42.15',0.001,0.001,56163.9818634,5,7,8,22,16,14,1.0,21.49,0.074,21.497,0.128,21.453,0.132,115000,0.999,20.353,0.021,20.502,0.047,20.434,0.036,115000,0.999,19.16,0.007,19.251,0.01,19.158,0.009,115000,0.999,18.592,0.008,18.682,0.017,18.601,0.018,115000,0.999,18.298,0.009,18.381,0.024,18.281,0.024,115000,1.341
b'PSO J023640.771+145810.864',b'125960391699784289',39.1699208333,14.9696472222,0.122,0.122,2,0.368247460917,1600,79,310456320,37,b'',b'',,,55430.1647569,0,0,0,0,1,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,0.999,20.624,0.199,19.346,0.157,19.532,0.199,16777488,0.9,19.811,0.153,,,18.925,0.153,16777496,1.345
b'PSO J023638.548+145925.262',b'125980391606118910',39.1606625,14.990375,0.039,0.039,6,0.378547227363,1600,79,310452224,37,b'',b'',,,55863.0161574,0,0,2,2,2,0,,,,,,,,0,0.236,21.171,0.076,20.078,0.075,20.177,0.083,16777752,0.256,21.108,0.09,19.804,0.148,20.025,0.113,16777752,0.075,20.324,0.005,19.808,0.127,19.676,0.09,16777744,,,,,,,,0,1.356
b'PSO J023643.975+150037.177',b'126010391832902813',39.1832583333,15.0103194444,0.009,0.004,55,0.2358923687,1600,79,436527104,52,b'02 36 43.975',b'+15 00 37.18',0.001,0.001,56205.5491088,5,3,7,18,14,13,0.999,21.826,0.129,21.896,0.192,21.724,0.242,115000,0.999,20.586,0.033,20.701,0.051,20.598,0.047,115000,1.0,19.539,0.008,19.65,0.014,19.561,0.014,115000,0.999,19.032,0.013,19.147,0.018,19.061,0.021,115000,1.0,18.747,0.01,18.782,0.063,18.716,0.041,115000,1.366
b'PSO J023645.207+150036.941',b'126010391884652761',39.18845,15.0102416667,0.072,0.072,6,0.509840960158,1600,79,436363264,52,b'02 36 45.208',b'+15 00 36.94',0.001,0.001,56572.7851852,4,0,0,1,5,0,,,,,,,,114720,,,,,,,,16416,0.998,21.671,0.145,21.454,0.193,21.135,0.145,16892216,0.999,21.084,0.112,20.996,0.103,20.678,0.123,115000,,,,,,,,114720,1.386
b'PSO J023647.704+145807.546',b'125960391987762926',39.1987625,14.9687583333,0.195,0.195,2,0.930746061663,1600,79,302067712,36,b'',b'',,,56246.3251389,0,1,0,0,0,1,0.000475,21.457,0.194,20.857,0.229,20.854,0.194,16777744,,,,,,,,0,,,,,,,,0,,,,,,,,0,0.434,20.635,0.273,,,20.733,0.273,4120,1.421
b'PSO J023647.416+145804.543',b'125960391975591769',39.1975708333,14.9679222222,0.122,0.122,2,0.0318204146175,1600,79,310456320,37,b'',b'',,,56246.3192245,0,2,0,0,0,0,0.001,21.386,0.08,20.727,0.013,20.563,0.045,16777744,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,1.421
b'PSO J023638.475+145942.031',b'125990391603344511',39.1603166667,14.9950083333,0.15,0.15,2,0.313759750979,1600,79,268959744,32,b'',b'',,,55935.2056597,0,0,0,0,0,2,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,0.651,19.916,0.25,,,19.809,0.261,4120,1.436
b'PSO J023638.155+145914.404',b'125980391590585222',39.1590083333,14.9872972222,0.063,0.055,15,0.574899763404,1600,79,436527104,52,b'02 36 38.156',b'+14 59 14.33',0.001,0.001,56186.611169,3,0,0,12,3,0,,,,,,,,16416,,,,,,,,16416,0.999,21.469,0.044,21.129,0.118,21.094,0.056,115000,1.0,20.979,0.006,19.933,0.138,20.163,0.039,16892216,,,,,,,,114720,1.441
b'PSO J023638.184+145857.513',b'125970391591139711',39.1591166667,14.9825972222,0.093,0.134,8,0.228694154163,1600,79,444915712,53,b'02 36 38.185',b'+14 58 57.51',0.001,0.001,56288.7419213,5,0,1,4,3,0,,,,,,,,114720,0.998,21.605,0.17,21.531,0.239,21.322,0.17,115000,0.999,21.495,0.147,20.97,0.097,21.064,0.131,16892216,0.999,21.161,0.061,20.516,0.005,20.347,0.143,16892216,,,,,,,,114720,1.465
b'PSO J023645.321+145749.137',b'125950391887606859',39.1888791667,14.9636055556,0.076,0.059,14,0.482857598442,1600,79,436527104,52,b'02 36 45.320',b'+14 57 48.87',0.001,0.001,56159.4472917,4,1,0,13,0,0,0.9,21.759,0.169,21.981,0.311,21.533,0.169,16696,,,,,,,,114720,0.998,21.529,0.124,21.325,0.097,21.255,0.149,115000,,,,,,,,114720,,,,,,,,114720,1.467
b'PSO J023638.684+145832.878',b'125970391611301510',39.1612125,14.9757805556,0.021,0.02,48,0.434684873032,1600,79,436527232,52,b'02 36 38.685',b'+14 58 32.88',0.001,0.001,56178.8455556,5,1,8,22,11,6,0.997,22.213,0.176,21.688,0.211,21.598,0.176,16892216,0.999,21.392,0.057,21.147,0.074,21.075,0.049,16892216,1.0,20.932,0.037,20.776,0.044,20.715,0.038,115000,0.999,20.642,0.029,20.32,0.049,20.274,0.021,16892216,0.999,20.101,0.063,19.794,0.134,19.837,0.115,16892216,1.491
b'PSO J023637.960+145908.324',b'125980391581553251',39.1582041667,14.9856111111,0.06,0.06,2,0.0619562231581,1600,79,310456320,37,b'',b'',,,55585.2676042,0,0,0,0,2,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,0.119,20.004,0.025,19.612,0.000959,19.49,0.023,16777752,,,,,,,,0,1.492
b'PSO J023640.897+145758.711',b'125960391704140078',39.1704416667,14.9662916667,0.008,0.004,60,0.228449821685,1600,79,503635968,60,b'02 36 40.898',b'+14 57 58.71',0.001,0.001,56146.1602083,5,12,8,18,12,10,1.0,20.62,0.037,20.701,0.038,20.633,0.035,115000,0.999,19.313,0.016,19.44,0.025,19.342,0.018,115000,0.999,18.54,0.005,18.646,0.006,18.554,0.006,115000,0.999,18.154,0.017,18.259,0.016,18.166,0.012,115000,0.999,17.913,0.019,18.0,0.023,17.915,0.018,115000,1.495
b'PSO J023649.972+145947.564',b'125990392082046322',39.20825,14.9965111111,0.065,0.058,9,0.219355398062,1600,79,436527104,52,b'02 36 49.969',b'+14 59 47.37',0.001,0.001,56187.2364468,4,0,1,7,1,0,,,,,,,,16416,0.998,21.893,0.181,21.957,0.281,21.713,0.181,115000,0.999,21.754,0.056,21.683,0.032,21.687,0.102,115000,0.998,21.556,0.194,21.605,0.284,21.876,0.194,115000,,,,,,,,114720,1.512
b'PSO J023646.712+145751.141',b'125950391945257597',39.1946375,14.9642055556,0.036,0.036,2,0.206653285964,1600,79,268959744,32,b'',b'',,,56233.3361921,0,0,0,2,0,0,,,,,,,,0,,,,,,,,0,0.824,20.522,0.0,,,20.652,0.0,4120,,,,,,,,0,,,,,,,,0,1.534
b'PSO J023646.212+145746.802',b'125950391924596244',39.19255,14.963,0.044,0.044,3,0.778001332449,1600,79,277348352,33,b'',b'',,,56236.8241204,0,1,0,2,0,0,0.538,19.673,0.084,,,18.831,0.084,16781328,,,,,,,,0,0.759,21.339,0.06,,,20.753,0.226,16781336,,,,,,,,0,,,,,,,,0,1.557
b'PSO J023649.310+145819.802',b'125960392055297097',39.2054916667,14.972125,0.018,0.018,3,0.840263970047,1600,79,310452224,37,b'',b'',,,55886.762338,0,0,2,1,0,0,,,,,,,,0,0.997,19.777,0.026,18.938,0.023,19.144,0.228,16778264,0.904,19.469,0.033,,,19.424,0.033,1048,,,,,,,,0,,,,,,,,0,1.558
b'PSO J023647.041+145750.658',b'125950391959777345',39.1960208333,14.9640638889,0.159,0.159,2,0.782880329325,1600,79,310456320,37,b'',b'',,,56246.3129745,0,1,0,1,0,0,0.0,21.352,0.158,19.988,0.129,20.3,0.158,16777744,,,,,,,,0,0.0,14.261,0.341,,,,,4120,,,,,,,,0,,,,,,,,0,1.576
b'PSO J023637.671+145853.670',b'125970391569448494',39.1570041667,14.9815611111,0.041,0.05,14,0.721521889532,1600,79,436527104,52,b'02 36 37.671',b'+14 58 53.67',0.001,0.001,56273.2914931,5,1,4,7,2,0,0.999,22.257,0.176,21.873,0.222,21.739,0.176,16892216,0.999,21.724,0.078,21.641,0.128,21.549,0.058,115000,0.999,21.62,0.059,21.684,0.08,21.626,0.124,115000,0.997,21.289,0.002,21.199,0.119,21.281,0.312,115000,,,,,,,,114720,1.598
b'PSO J023646.425+145745.598',b'125950391934465693',39.1934583333,14.962525,0.029,0.029,5,0.490422827648,1600,79,310452224,37,b'',b'',,,56052.3756713,0,1,0,3,0,1,0.341,19.064,0.053,,,19.103,0.053,4112,,,,,,,,0,0.999,21.737,0.089,20.521,0.248,21.166,0.032,16777496,,,,,,,,0,0.998,19.517,0.035,14.203,0.003,18.041,0.035,16777496,1.602
b'PSO J023648.030+150033.882',b'126010392001041804',39.2001583333,15.0093777778,0.118,0.118,3,0.103640479132,1600,79,436285440,52,b'02 36 48.022',b'+15 00 33.76',0.001,0.001,56521.6286458,3,0,0,1,2,0,,,,,,,,16416,,,,,,,,16416,0.999,21.742,0.155,,,21.936,0.155,115000,0.998,21.11,0.181,,,21.304,0.181,115000,,,,,,,,114720,1.614
