objName,objID,raMean,decMean,raMeanErr,decMeanErr,nDetections,randomID,projectionID,skyCellID,objInfoFlag,qualityFlag,raStack,decStack,raStackErr,decStackErr,epochMean,nStackDetections,ng,nr,ni,nz,ny,gQfPerfect,gMeanPSFMag,gMeanPSFMagErr,gMeanKronMag,gMeanKronMagErr,gMeanApMag,gMeanApMagErr,gFlags,rQfPerfect,rMeanPSFMag,rMeanPSFMagErr,rMeanKronMag,rMeanKronMagErr,rMeanApMag,rMeanApMagErr,rFlags,iQfPerfect,iMeanPSFMag,iMeanPSFMagErr,iMeanKronMag,iMeanKronMagErr,iMeanApMag,iMeanApMagErr,iFlags,zQfPerfect,zMeanPSFMag,zMeanPSFMagErr,zMeanKronMag,zMeanKronMagErr,zMeanApMag,zMeanApMagErr,zFlags,yQfPerfect,yMeanPSFMag,yMeanPSFMagErr,yMeanKronMag,yMeanKronMagErr,yMeanApMag,yMeanApMagErr,yFlags,Ang Sep (')
b'PSO J023602.917+150800.841',b'126160390121670775',39.0121916667,15.13355,0.039,0.035,19,0.761231746302,1600,79,436527104,52,b'02 36 02.918',b'+15 08 00.90',0.001,0.001,56062.9019444,3,0,0,9,7,3,,,,,,,,16416,,,,,,,,16416,0.999,21.636,0.134,21.883,0.106,21.789,0.209,115000,0.999,20.753,0.074,20.882,0.056,20.791,0.078,115000,0.999,20.41,0.145,20.821,0.264,20.828,0.171,115000,13.254
b'PSO J023551.661+150309.193',b'126060389653293782',38.9652833333,15.0525611111,0.043,0.08,24,0.0234584482605,1600,79,444915712,53,b'02 35 51.661',b'+15 03 09.19',0.001,0.001,55876.8605093,5,2,5,13,4,0,0.999,21.625,0.044,21.06,0.041,20.938,0.054,16892216,0.999,21.736,0.116,20.826,0.142,21.023,0.221,16892216,0.999,20.985,0.123,20.9,0.094,21.003,0.194,16892216,0.998,20.55,0.11,20.286,0.12,20.138,0.148,16892216,,,,,,,,114720,13.254
b'PSO J023621.529+151120.209',b'126220390897287287',39.0897416667,15.1889222222,0.016,0.016,45,0.738493110741,1600,79,168091648,20,b'02 36 21.530',b'+15 11 20.24',0.001,0.001,56229.9258449,8,0,2,20,12,11,,,,,,,,32,0.999,22.04,0.02,22.047,0.12,22.091,0.106,115000,1.0,20.809,0.02,20.933,0.051,20.841,0.055,115000,1.0,20.272,0.033,20.339,0.071,20.234,0.085,115000,0.999,19.851,0.03,19.962,0.057,19.915,0.056,115000,13.255
b'PSO J023622.253+151124.894',b'126220390927378758',39.0927208333,15.1902472222,0.175,0.175,2,0.98516362811,1600,79,268959744,32,b'',b'',,,55545.1573611,0,1,0,0,1,0,0.63,22.152,0.286,,,23.163,0.286,4120,,,,,,,,0,,,,,,,,0,0.82,21.008,0.22,,,21.417,0.22,4120,,,,,,,,0,13.258
b'PSO J023550.495+145624.953',b'125920389603638854',38.9604416667,14.94025,0.021,0.02,62,0.756698926684,1600,79,444915712,53,b'02 35 50.500',b'+14 56 24.97',0.001,0.001,56215.0537847,4,7,8,20,13,14,0.999,20.102,0.074,18.872,0.15,19.035,0.079,16793912,1.0,20.359,0.138,18.409,0.022,19.285,0.168,16892216,0.999,19.969,0.038,17.975,0.011,18.859,0.053,16892216,0.999,19.743,0.039,18.0,0.051,18.709,0.019,16892216,0.999,19.564,0.039,18.097,0.067,18.701,0.04,16892216,13.259
b'PSO J023738.290+150126.493',b'126020394095059305',39.4095541667,15.0239805556,0.16,0.16,2,0.0785446335362,1600,78,302067712,36,b'',b'',,,55889.3123148,0,0,1,1,0,0,,,,,,,,0,0.999,22.188,0.159,21.513,0.184,21.713,0.159,16777496,0.569,22.407,0.311,,,22.635,0.311,4120,,,,,,,,0,,,,,,,,0,13.26
b'PSO J023700.893+144637.387',b'125730392536583206',39.2537208333,14.7770527778,0.162,0.162,2,0.0211883895296,1600,69,268959744,32,b'',b'',,,55508.3036806,0,2,0,0,0,0,0.577,21.42,0.162,,,23.429,0.162,4120,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,13.264
b'PSO J023613.409+151015.136',b'126200390559845702',39.0558708333,15.1708722222,0.121,0.121,2,0.560046162978,1600,79,268959744,32,b'',b'',,,55481.3673032,0,1,1,0,0,0,0.04,22.103,0.39,,,,,4120,0.003,20.95,0.127,20.65,0.15,20.895,0.127,4120,,,,,,,,0,,,,,,,,0,,,,,,,,0,13.265
b'PSO J023620.420+144717.365',b'125740390851956284',39.0850875,14.7881583333,0.227,0.227,2,0.755263156961,1600,69,268959744,32,b'',b'',,,56712.7727199,0,0,0,0,1,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,0.628,21.477,0.307,,,22.639,0.307,4120,0.598,19.671,0.337,,,,,4120,13.265
b'PSO J023659.636+144631.914',b'125730392484951140',39.2485125,14.7754916667,0.011,0.011,49,0.769128819713,1600,69,436527104,52,b'02 36 59.636',b'+14 46 31.91',0.001,0.001,56168.7062384,10,1,6,14,15,13,0.243,21.115,0.234,,,,,118840,0.999,21.617,0.035,21.683,0.163,21.63,0.157,115000,0.999,20.303,0.013,20.415,0.04,20.3,0.027,115000,0.999,19.683,0.041,19.8,0.085,19.723,0.042,115000,0.999,19.419,0.028,19.458,0.066,19.318,0.041,115000,13.265
