recno,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Field,nobs,mobs,B-V,e_B-V,Vmag,e_Vmag,Bmag,e_Bmag,g_mag,e_g_mag,r_mag,e_r_mag,i_mag,e_i_mag
42763127,159.493471,-27.40182,1.16,1.057,20161476,2,6,0.885,0.122,16.194,0.0,17.079,0.122,16.648,0.089,15.845,0.03,,
42763128,159.535308,-27.385292,1.153,0.831,20161476,2,8,1.13,0.016,16.49,0.016,17.62,0.0,17.09,0.0,16.322,0.05,,
42763129,159.535814,-27.384934,0.119,1.111,20161476,2,3,0.946,0.121,16.588,0.0,17.534,0.121,,,,,,
42763356,159.259152,-27.607453,0.588,0.363,20161476,4,18,1.133,0.027,15.484,0.019,16.617,0.019,16.013,0.041,15.047,0.085,14.694,0.135
42763357,159.265799,-27.600246,0.503,0.284,20161476,4,20,1.198,0.071,14.491,0.046,15.689,0.054,15.121,0.017,14.005,0.032,13.518,0.045
42763358,159.287848,-27.586852,0.223,0.272,20131359,6,30,0.255,1.081,12.195,0.751,12.45,0.778,12.247,0.761,12.213,0.729,12.24,0.668
42763359,159.237272,-27.567547,1.967,1.101,20161476,2,4,1.12,0.0,16.833,0.0,17.953,0.0,17.468,0.105,16.208,0.0,,
42763360,159.260375,-27.56527,0.264,0.502,20131359,5,22,1.161,0.046,13.71,0.023,14.871,0.04,14.274,0.03,13.281,0.036,12.792,0.065
42763361,159.300596,-27.568641,1.652,0.634,20161476,2,8,0.862,0.269,16.786,0.179,17.648,0.201,17.357,0.095,16.532,0.076,,
42763362,159.324608,-27.539766,0.2,0.192,20131359,6,27,0.629,0.04,12.997,0.034,13.626,0.02,13.259,0.02,12.834,0.03,12.702,0.088
42763363,159.269878,-27.52538,0.393,0.33,20131359,5,22,0.56,0.043,14.364,0.009,14.925,0.042,14.602,0.024,14.25,0.035,14.131,0.048
42763364,159.28343,-27.515677,0.971,1.127,20161476,3,11,0.597,0.206,16.218,0.157,16.816,0.134,16.4,0.042,16.145,0.0,16.049,0.0
42763365,159.293549,-27.523171,0.352,0.515,20161476,4,20,0.968,0.042,14.698,0.026,15.666,0.033,15.138,0.015,14.429,0.017,14.092,0.096
42763366,159.309528,-27.505875,0.708,0.572,20161476,4,19,0.778,0.189,15.505,0.112,16.283,0.152,15.861,0.083,15.313,0.056,15.164,0.081
42763367,159.225124,-27.560552,0.308,0.298,20161476,4,20,0.878,0.046,14.57,0.023,15.448,0.04,14.934,0.037,14.299,0.05,14.026,0.069
42763368,159.178165,-27.528124,0.39,0.466,20131359,5,19,1.11,0.027,14.254,0.017,15.364,0.021,14.769,0.018,13.881,0.022,13.372,0.051
42763369,159.274194,-27.497497,0.207,0.233,20161476,4,20,0.621,0.05,14.31,0.035,14.931,0.036,14.562,0.039,14.155,0.043,13.957,0.098
42763370,159.281183,-27.4974,0.253,0.232,20161476,4,20,0.737,0.044,14.259,0.033,14.996,0.029,14.559,0.019,14.071,0.045,13.943,0.075
42763371,159.23395,-27.490291,0.832,0.839,20161476,3,12,0.641,0.134,16.191,0.083,16.832,0.105,16.45,0.056,16.04,0.0,,
42763372,159.35366,-27.502655,0.617,0.511,20161476,4,18,0.918,0.085,15.378,0.045,16.296,0.072,15.82,0.028,15.141,0.044,14.846,0.066
42763373,159.364796,-27.482522,0.461,0.473,20161476,4,20,0.985,0.111,14.672,0.025,15.657,0.108,15.146,0.032,14.291,0.026,13.975,0.05
42763374,159.374674,-27.476853,0.606,0.402,20161476,4,20,0.748,0.05,14.556,0.025,15.304,0.043,14.883,0.039,14.337,0.044,14.097,0.053
42763375,159.380486,-27.482049,0.732,0.875,20161476,3,10,0.791,0.072,15.491,0.054,16.282,0.047,15.897,0.055,15.353,0.006,,
42763376,159.311806,-27.482505,0.5,0.484,20131359,6,25,0.528,0.043,13.814,0.019,14.343,0.038,14.031,0.021,13.715,0.051,13.574,0.076
42763377,159.327378,-27.489893,1.079,0.809,20161476,2,7,0.632,0.135,16.498,0.118,17.129,0.065,16.76,0.0,16.056,0.0,16.006,0.0
42763378,159.320953,-27.468888,0.427,0.298,20161476,4,18,1.098,0.068,14.555,0.023,15.653,0.064,15.058,0.028,14.161,0.037,13.703,0.072
42763379,159.312169,-27.434128,0.449,0.626,20131359,6,25,1.279,0.031,13.076,0.022,14.355,0.022,13.69,0.027,12.678,0.039,12.229,0.091
42763380,159.372528,-27.390023,0.508,0.924,20161476,4,23,0.975,0.073,15.326,0.023,16.301,0.069,15.799,0.035,15.022,0.049,14.775,0.092
42763381,159.184871,-27.505698,0.31,0.184,20131359,6,30,1.025,0.025,12.174,0.024,13.198,0.008,12.642,0.021,11.859,0.04,11.519,0.054
42763382,159.175554,-27.512814,0.951,0.997,20161476,4,14,0.702,0.016,15.541,0.0,16.243,0.016,15.887,0.107,15.309,0.048,15.133,0.006
42763383,159.199079,-27.477735,0.914,0.873,20161476,3,12,1.018,0.0,16.524,0.0,17.542,0.0,16.967,0.058,16.317,0.16,16.034,0.175
42763387,159.150043,-27.497733,0.784,0.641,20161476,2,9,0.961,0.038,15.975,0.038,16.937,0.0,16.42,0.099,15.648,0.13,15.55,0.0
42763389,159.187251,-27.469522,0.338,0.254,20161476,4,20,1.06,0.051,14.524,0.025,15.584,0.044,14.999,0.041,14.211,0.046,13.776,0.029
42763390,159.220028,-27.446378,0.572,0.29,20161476,4,20,0.758,0.03,14.093,0.025,14.851,0.017,14.428,0.023,13.906,0.037,13.732,0.057
42763391,159.18082,-27.450827,0.813,1.384,20161476,2,4,,,,,,,17.168,0.098,16.347,0.043,,
42763392,159.18359,-27.440768,0.406,0.619,20161476,3,14,0.715,0.114,15.449,0.042,16.163,0.105,15.807,0.016,15.354,0.06,15.179,0.034
42763401,159.27441,-27.421885,0.803,1.048,20161476,2,4,,,,,,,16.455,0.029,15.448,0.108,,
42763402,159.270674,-27.399959,0.696,0.3,20161476,4,18,1.01,0.127,14.931,0.124,15.941,0.026,15.364,0.034,14.547,0.033,14.104,0.074
42763403,159.241252,-27.407702,1.13,0.468,20161476,2,5,0.765,0.161,16.815,0.0,17.58,0.161,17.202,0.0,15.979,0.0,15.572,0.0
42763418,159.422518,-27.424232,0.22,0.27,20161476,4,20,0.674,0.054,14.267,0.033,14.941,0.043,14.559,0.034,14.078,0.042,13.91,0.075
42763419,159.41732,-27.399207,0.141,0.176,20131359,6,27,0.452,0.039,12.526,0.028,12.978,0.027,12.7,0.022,12.437,0.026,12.376,0.059
42763420,159.469197,-27.388656,1.114,1.019,20161476,3,7,,,,,,,16.948,0.085,16.349,0.114,16.286,0.0
42763422,159.385561,-27.383691,0.486,0.323,20131359,5,22,1.134,0.065,14.49,0.022,15.624,0.061,15.019,0.024,14.154,0.05,13.754,0.065
