fname,telescope,TELESCOP,INSTRUME,instrument,mjd,lmag,method,subtraction,xpix,ypix,r_inst,r_inst_err,zp_r,zp_r_err,r,r_err,SNR,time,fwhm,fwhm_err,target_fwhm,beta,pixel_offset
/Users/seanbrennan/Desktop/autophot_example/example/example_APT.fits,Example,EXAMPLE_TELESCOPE,INSTRUME,EXAMPLE_INSTRUMENT,58849.0,,psf,False,"0    1867.689592
Name: x_fitted, dtype: float64","0    1856.474574
Name: y_fitted, dtype: float64",[-5.48121495],0.031602533948879984,22.98508120380384,0.03273995647576986,[17.50386625],0.045504119615980006,68.21318420844892,2021-02-14 14:16:34.432104,4.6167222028177965,0.15317105535829428,4.664048016846071,1,[1.27915596]
/Users/seanbrennan/Desktop/autophot_example/example/example_APT.fits,Example,EXAMPLE_TELESCOPE,INSTRUME,EXAMPLE_INSTRUMENT,58849.0,,psf,False,"0    1867.689592
Name: x_fitted, dtype: float64","0    1856.474574
Name: y_fitted, dtype: float64",[-5.48121495],0.031602533948879984,22.985081215133174,0.032739976289943566,[17.50386627],0.0455041338721679,68.21318420844892,2021-02-14 15:07:34.378603,4.6167222028177965,0.15317105535829428,4.6640480168460705,1,[1.27915596]
/Users/seanbrennan/Desktop/autophot_example/example/example_APT.fits,Example,EXAMPLE_TELESCOPE,INSTRUME,EXAMPLE_INSTRUMENT,58849.0,,psf,False,"0    1988.359122
Name: x_fitted, dtype: float64","0    2033.636458
Name: y_fitted, dtype: float64",[-8.85327487],0.016155822215129644,22.985081203803837,0.03273995647576986,[14.13180633],0.036509113129219964,133.90866068240194,2021-02-14 15:14:08.977051,4.6167222028177965,0.15317105535829428,4.632253388384757,1,[1.28851467]
