recno,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Field,nobs,mobs,B-V,e_B-V,Vmag,e_Vmag,Bmag,e_Bmag,g_mag,e_g_mag,r_mag,e_r_mag,i_mag,e_i_mag
447440,41.988282,27.238722,0.126,0.268,20121320,6,26,1.567,0.103,12.246,0.078,13.813,0.067,13.019,0.056,11.705,0.082,11.05,0.052
447444,42.03432,27.282,1.013,1.172,20121320,4,14,0.706,0.212,16.415,0.128,17.121,0.169,16.751,0.064,16.158,0.15,15.993,0.171
447446,41.89002,27.244444,0.245,0.262,20121320,6,30,0.628,0.077,13.98,0.052,14.608,0.056,14.282,0.045,13.803,0.071,13.626,0.049
447447,41.922917,27.242023,1.084,0.682,20121320,3,9,0.706,0.127,16.193,0.125,16.899,0.023,16.519,0.033,16.057,0.053,15.918,0.0
447448,41.923343,27.24179,0.603,0.682,20151198,2,5,,,,,,,16.42,0.1,16.087,0.122,15.872,0.0
447449,41.968213,27.258152,0.506,0.746,20121320,6,26,0.783,0.143,15.497,0.084,16.281,0.116,15.869,0.043,15.289,0.059,15.043,0.079
447450,41.970454,27.313625,1.024,0.747,20121320,6,22,0.646,0.115,15.897,0.072,16.543,0.089,16.188,0.063,15.707,0.097,15.523,0.091
447451,41.85045,27.271186,0.143,0.156,20121320,6,30,0.594,0.091,11.2,0.07,11.794,0.059,11.485,0.039,11.058,0.076,10.906,0.041
447452,41.874932,27.310544,0.271,0.332,20121320,6,30,0.785,0.104,14.017,0.086,14.802,0.058,14.383,0.048,13.771,0.074,13.525,0.041
447453,41.900131,27.309489,0.299,0.716,20121320,6,30,0.77,0.096,15.24,0.063,16.01,0.073,15.601,0.04,14.972,0.073,14.737,0.055
447454,41.936788,27.340903,0.251,0.255,20121320,6,30,1.175,0.086,11.99,0.07,13.165,0.051,12.56,0.044,11.626,0.077,11.259,0.037
447456,42.006147,27.332625,0.244,0.189,20121320,6,30,0.65,0.097,13.609,0.076,14.259,0.06,13.906,0.04,13.442,0.073,13.288,0.037
447461,41.954031,27.388604,0.718,1.061,20151319,3,6,,,,,,,16.849,0.102,16.125,0.139,15.837,0.234
447465,41.661426,27.1496,0.634,0.464,20151198,3,8,,,,,,,16.572,0.091,15.698,0.078,15.427,0.006
447466,41.690737,27.150053,1.006,0.929,20121320,2,5,0.932,0.0,15.626,0.0,16.558,0.0,16.065,0.026,15.443,0.0,15.183,0.0
447467,41.695009,27.153339,0.815,1.039,20121320,3,7,0.901,0.051,15.804,0.008,16.706,0.05,16.19,0.0,15.475,0.0,15.232,0.0
447468,41.688469,27.196489,0.476,0.914,20121320,4,13,1.1,0.165,15.947,0.044,17.047,0.159,16.496,0.047,15.608,0.08,15.232,0.039
447469,41.696469,27.211919,0.952,1.155,20151319,2,3,,,,,,,17.295,0.088,15.766,0.0,15.219,0.0
447470,41.63491,27.187938,0.56,0.538,20121320,4,18,0.991,0.142,15.411,0.124,16.402,0.07,15.895,0.102,15.027,0.084,14.695,0.08
447471,41.589521,27.181504,0.842,0.452,20121320,4,13,0.062,0.406,16.003,0.268,16.065,0.304,16.014,0.271,15.837,0.273,16.376,0.0
447472,41.620464,27.215112,0.648,0.616,20121320,6,22,0.68,0.181,15.314,0.101,15.993,0.15,15.604,0.033,15.153,0.131,14.972,0.066
447473,41.669619,27.215436,0.345,0.435,20121320,6,22,0.636,0.14,14.536,0.09,15.172,0.107,14.83,0.065,14.348,0.079,14.178,0.062
447474,41.673993,27.225967,1.071,1.017,20121320,2,9,0.657,0.097,16.733,0.067,17.39,0.07,17.151,0.008,16.269,0.163,16.043,0.0
447475,41.645273,27.244515,0.297,0.328,20121320,6,30,1.429,0.097,10.864,0.066,12.292,0.071,11.584,0.044,10.384,0.08,,
447476,41.735234,27.255368,0.254,0.165,20121320,6,30,0.537,0.098,12.318,0.068,12.854,0.07,12.568,0.04,12.202,0.073,12.075,0.037
447477,41.754679,27.269285,0.829,0.611,20121320,4,16,0.707,0.15,15.925,0.082,16.632,0.126,16.328,0.059,15.714,0.07,15.541,0.08
